"Source","Target"
"CHEMBL3712863","BCAM"
"L-2329","PICALM"
"Benziodarone","PICALM"
"CHEMBL6093","PICALM"
"B-436","PICALM"
"Prenylamine Lactate","PICALM"
"Prenylamine","PICALM"
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","PICALM"
"2-Methyl-2-Propanol","PICALM"
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine","PICALM"
"Aprindine","PICALM"
"Calcium levulinate","PICALM"
"Cinchocaine","PICALM"
"Melatonin","PICALM"
"N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide","PICALM"
"N-Trimethyllysine","PICALM"
"Perphenazine","PICALM"
"Phenoxybenzamine","PICALM"
"Pimozide","PICALM"
"Promethazine","PICALM"
"Trifluoperazine","PICALM"
"Vascace","BACE1"
"RO 31-2848/006","BACE1"
"INHIBACE","BACE1"
"CILAZAPRIL","BACE1"
"Ro-312848006","BACE1"
"CHEMBL2096989","BACE1"
"1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid","BACE1"
"Benazepril","BACE1"
"Candoxatril","BACE1"
"Enalapril","BACE1"
"Fosinopril","BACE1"
"Lisinopril","BACE1"
"Moexipril","BACE1"
"N-acetyl-alpha-D-glucosamine","BACE1"
"Omapatrilat","BACE1"
"Perindopril","BACE1"
"Quinapril","BACE1"
"Rescinnamine","BACE1"
"Spirapril","BACE1"
"Temocapril","BACE1"
"Trandolapril","BACE1"
"Zofenopril","BACE1"
"Hyteneze 25","BACE1"
"Univasc","BACE1"
"MAVIK","BACE1"
"Hyteneze 12.5","BACE1"
"ECOPACE","BACE1"
"RANACE","BACE1"
"SQ-28555","BACE1"
"MCN-A-2833","BACE1"
"CI-906","BACE1"
"RU-44570","BACE1"
"GOPTEN","BACE1"
"MK-521","BACE1"
"NOYADA","BACE1"
"Capoten","BACE1"
"INDOLAPRIL","BACE1"
"Odrik","BACE1"
"Uniretic","BACE1"
"HOE-498","BACE1"
"LOPACE","BACE1"
"Monopril","BACE1"
"Defactinib","PTK2B"
"CHEMBL5469","PTK2B"
"GSK-2256098","PTK2B"
"CHEMBL2695","PTK2B"
"PF-562271","PTK2B"
"PF-00562271","PTK2B"
"VS-4718","PTK2B"
"CHEMBL258","PTK2B"
"AMG-780","PTK2B"
"CHEMBL3217395","PTK2B"
"Trebananib","PTK2B"
"APD334","PTK2B"
"Etrasimod","PTK2B"
"CHEMBL4333","PTK2B"
"ACT-128800","PTK2B"
"Ponesimod","PTK2B"
"BAF-312","PTK2B"
"Siponimod","PTK2B"
"KRP-203","PTK2B"
"ALTIRATINIB","PTK2B"
"CHEMBL4128","PTK2B"
"CE-245677","PTK2B"
"4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide","PTK2B"
"Baricitinib","PTK2B"
"2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE","PTK2B"
"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE","PTK2B"
"Endostatin","PTK2B"
"2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE","PTK2B"
"3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","PTK2B"
"5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE","PTK2B"
"N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","PTK2B"
"N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine","PTK2B"
"N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","PTK2B"
"{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid","PTK2B"
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid","PTK2B"
"Asfotase alfa","PTK2B"
"Ampicillin","PTK2B"
"N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE","PTK2B"
"AME-133V","PTK2B"
"Xiidra","PTK2B"
"SAR 1118","PTK2B"
"Lifitegrast","PTK2B"
"LY-2469298","PTK2B"
"XL-820","PTK2B"
"AF802","PTK2B"
"2240442","PTK2B"
"Amiselimod","PTK2B"
"CHEMBL3107","FGFR3"
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid","FGFR3"
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid","FGFR3"
"ABT-510","FGFR3"
"Sucralfate","FGFR3"
"REGN-2176","PDGFRB"
"Rinucumab","PDGFRB"
"CHEMBL3108633","PDGFRB"
"Fovista","PDGFRB"
"Pegpleranib sodium","PDGFRB"
"X01E","PDGFRB"
"E01AJ","PDGFRB"
"E10030","PDGFRB"
"CEP-2563","PDGFRB"
"CHEMBL1974","PDGFRB"
"Sorafenib tosylate","PDGFRB"
"BAY-54-9085","PDGFRB"
"NEXAVAR","PDGFRB"
"BAY 54-9085","PDGFRB"
"AST-487","PDGFRB"
"NVP-AST487","PDGFRB"
"AKN-028","PDGFRB"
"SP-924","PDGFRB"
"IMC-EB10","PDGFRB"
"AS-602868","PDGFRB"
"SPC-839","PDGFRB"
"Symadex","PDGFRB"
"C-1311","PDGFRB"
"Pegpleranib","PDGFRB"
"TG-100801","PDGFRB"
"REGRANEX","PDGFRB"
"CL 14377","PDGFRB"
"Methotrexate","PDGFRB"
"DACOGEN","PDGFRB"
"PEVONEDISTAT","PDGFRB"
"REVLIMID","PDGFRB"
"RASUVO","PDGFRB"
"Altiratinib","PDGFRB"
"Fimepinostat","PDGFRB"
"IMETELSTAT","GRN"
"GRN163L","GRN"
"CHEMBL2916","GRN"
"IMETELSTAT SODIUM","GRN"
"Tertomotide","GRN"
"Zidovudine","GRN"
"VERZENIO","GRN"
"Bortezomib","GRN"
"GANITE","GRN"
"Lorvotuzumab Mertansine","GRN"
"TBO-FILGRASTIM","GRN"
"Ikervis","GRN"
"BICNU","GRN"
"GENGRAF","GRN"
"ABEMACICLIB","GRN"
"Deltasone","GRN"
"BECATECARIN","GRN"
"VEPESID","GRN"
"Irinotecan","GRN"
"Cortancyl","GRN"
"Rituxan","GRN"
"MABCAMPATH","GRN"
"BMY-40481","GRN"
"DELTA-DOME","GRN"
"Cortigel","GRN"
"Gallium Nitrate","GRN"
"TORISEL","GRN"
"Decitabine","GRN"
"REPOSITORY CORTICOTROPIN","GRN"
"Tasmar","GRN"
"Vaniqa","GRN"
"MABTHERA","GRN"
"HYCAMTIN","GRN"
"MLN8237","GRN"
"GLIADEL","GRN"
"Retin-A","GRN"
"Ro-43780","GRN"
"XALKORI","GRN"
"LIQUID PRED","GRN"
"Purified Cortrophin Gel","GRN"
"CORTICOTROPIN","GRN"
"CORTROPHIN","GRN"
"ETOPOPHOS PRESERVATIVE FREE","GRN"
"Bevacizumab","GRN"
"MABTHERA RITUXAN","GRN"
"IMGN-901","GRN"
"ACTH","GRN"
"CARMUSTINE","GRN"
"CAPRELSA","GRN"
"Aclasta","GRN"
"Ornidyl","GRN"
"ALISERTIB","GRN"
"Adrenomone","GRN"
"Ro-407592","GRN"
"BCNU","GRN"
"Pembrolizumab","GRN"
"Eflornithine","GRN"
"Acthar Gel","GRN"
"Ciclosporin","GRN"
"LY2835219","GRN"
"ETOPOSIDE PHOSPHATE","GRN"
"Camptosar","GRN"
"CAMPATH-1H","GRN"
"CORTICOTROPIN, REPOSITORY","GRN"
"Adrenocorticotropic Hormone","GRN"
"H.P. ACTHAR GEL","GRN"
"NVP-LEE011","GRN"
"LEE-011","GRN"
"ACTHAR","GRN"
"ETOPOPHOS","GRN"
"HUN901-DM1, BB-10901","GRN"
"Adrenocorticotropin","GRN"
"Ro-40-7592","GRN"
"Ribociclib","GRN"
"CYT-387","GRN"
"Iscover","GRN"
"NU-SEALS CARDIO 75","GRN"
"PLATET 300","GRN"
"Hydroxyurea","GRN"
"XL-019","GRN"
"CYT-11387","GRN"
"Gencardia","GRN"
"Momelotinib","GRN"
"Grepid","GRN"
"Hydrea","GRN"
"ACETYLSALIC ACID","GRN"
"NU-SEALS 75","GRN"
"Disprin Direct","GRN"
"GS-0387","GRN"
"ANAGRELIDE","GRN"
"Xagrid","GRN"
"Agrylin","GRN"
"AZD-1480","GRN"
"CEDOCARD","GRN"
"NITROMIN","GRN"
"TRANSDERM-NITRO","GRN"
"CEDOCARD-20","GRN"
"Vascardin","GRN"
"Isoket 0.05%","GRN"
"SORBITRATE","GRN"
"ISOSORBIDE MONONITRATE","GRN"
"Elantan LA 25","GRN"
"Nipride","GRN"
"Isoket Ret 40","GRN"
"Inomax","GRN"
"ISOTARD 40 XL","GRN"
"NITROGLYCERIN","GRN"
"TRANSIDERM-NITRO 5","GRN"
"Sodium Nitroferricyanide","GRN"
"SONI-SLO","GRN"
"CARVASIN","GRN"
"ISODUR 25 XL","GRN"
"VASOTRATE 60 SR","GRN"
"ASTRODUR MR","GRN"
"SLOMON XL 60","GRN"
"ISOCARD","GRN"
"MINITRAN 15","GRN"
"Minitran 5","GRN"
"TRINTEK 10","GRN"
"TENKOSORB","GRN"
"Isoket 5","GRN"
"SORBID SA","GRN"
"ANGEZE 20","GRN"
"ELANTAN 20","GRN"
"SORBID-40 SA","GRN"
"ISOTARD 25 XL","GRN"
"ISOKET RET 20","GRN"
"Suscard Buccal","GRN"
"ANGEZE 10","GRN"
"RECTIV","GRN"
"Cedocard-40","GRN"
"CIBRAL 40","GRN"
"DILATRATE-SR","GRN"
"Imtack","GRN"
"ISOKET 0.1%","GRN"
"Adempas","GRN"
"Jeridin","GRN"
"CEDOCARD RET","GRN"
"MONO-CEDOCARD 20","GRN"
"RIOCIGUAT","GRN"
"ANGEZE SR 40","GRN"
"Sorbichew","GRN"
"Monit","GRN"
"IMO LA","GRN"
"DEPONIT 10","GRN"
"PERCUTOL","GRN"
"Modisal LA 25","GRN"
"SORBIDE NITRATE","GRN"
"Angitak","GRN"
"Imdur","GRN"
"Monodur","GRN"
"MONIGEN XL 60","GRN"
"ISOTARD 50 XL","GRN"
"BAY 63-2521","GRN"
"Sodium Nitroprusside","GRN"
"CEDOCARD-5","GRN"
"ISIB 50 XL","GRN"
"NITRO-MACK RET","GRN"
"Phasonit LA 50","GRN"
"Modisal LA 50","GRN"
"Trinitrin Tablets","GRN"
"DILATRATE","GRN"
"NITRO IV","GRN"
"Monit LS","GRN"
"ISORDIL","GRN"
"CEDOCARD-10","GRN"
"ISORDIL TEMBIDS","GRN"
"ISIB 60 XL","GRN"
"Nitriderm TTS","GRN"
"SORBIDILAT","GRN"
"Isoket 20","GRN"
"Eumon 60 XL","GRN"
"Angeze SR 60","GRN"
"NITROPRESS","GRN"
"SORBID-20 SA","GRN"
"Ziotan XL","GRN"
"Iso Mack","GRN"
"CARMIL XL","GRN"
"Isosorbide Dinitrate","GRN"
"Isotrate","GRN"
"ELANTAN LA 50","GRN"
"Monomax XL","GRN"
"ISOKET 10","GRN"
"IDELALISIB","GRN"
"Obatoclax","GRN"
"ARA-CYTIDINE","GRN"
"MAXTREX","GRN"
"ZLATAL","GRN"
"Amethopterin","GRN"
"AP23573","GRN"
"Vismodegib","GRN"
"AB-0024","GRN"
"GS-6624","GRN"
"Arabinosyl Cytosine","GRN"
"NAVITOCLAX","GRN"
"Simtuzumab","GRN"
"Erivedge","GRN"
"ABT-263","GRN"
"TAK-901","GRN"
"NS-018","GRN"
"BUDELIN NOVOLIZER","GRN"
"MK-4827","GRN"
"VENTAVIS","GRN"
"Calciferol In Arach Oil","GRN"
"MK-1775","GRN"
"REFLUDAN","GRN"
"ARRY-162","GRN"
"BONDRONAT","GRN"
"Figitumumab","GRN"
"ARRY-438162","GRN"
"Preferid","GRN"
"INCB-39110","GRN"
"Alectinib","GRN"
"PASIREOTIDE","GRN"
"Pulmicort Flexhaler","GRN"
"UCERIS","GRN"
"CAROTUXIMAB","GRN"
"TACEDINALINE","GRN"
"PDX","GRN"
"FK-228","GRN"
"MGCD-0103","GRN"
"Anetumab ravtansine","GRN"
"ERGO-D2","GRN"
"PULMICORT","GRN"
"CALCIFEROL","GRN"
"EFAPROXIRAL","GRN"
"B2036-PEG","GRN"
"CH5424802","GRN"
"Palbociclib","GRN"
"METHYLPREDNISOLONE","GRN"
"Itacitinib","GRN"
"Pegvisomant","GRN"
"GIOTRIF","GRN"
"PRO-143996","GRN"
"ZEJULA","GRN"
"STEROGYL-15","GRN"
"RHINOCORT ALLERGY","GRN"
"Flolipid","GRN"
"LANES","GRN"
"HR3","GRN"
"IMC-C225","GRN"
"PRALATREXATE","GRN"
"Metmab","GRN"
"Ibandronic Acid","GRN"
"AFATINIB","GRN"
"TRAMETINIB","GRN"
"TAGRISSO","GRN"
"KETALAR","GRN"
"SOMAVERT","GRN"
"ONARTUZUMAB","GRN"
"Diphenhydramine","GRN"
"ENTOCORT EC","GRN"
"FR-901228","GRN"
"NYP-INC280-NX","GRN"
"Rhinocort Aqua","GRN"
"C225","GRN"
"Trastuzumab","GRN"
"PAZOPANIB","GRN"
"ISTODAX","GRN"
"PRECEDEX","GRN"
"ILOPROST","GRN"
"PD-0332991","GRN"
"CI-1033","GRN"
"Rhinocort Aqua 64","GRN"
"Vectibix","GRN"
"BUDENOFALK","GRN"
"ENTOCORT","GRN"
"Zaltrap","GRN"
"GWP42003-P","GRN"
"IMC-225","GRN"
"SOM230","GRN"
"Marimastat","GRN"
"NIRAPARIB","GRN"
"Boniva","GRN"
"Tafinlar","GRN"
"EGF816","GRN"
"Romidepsin","GRN"
"RHINOCORT","GRN"
"Lepirudin","GRN"
"Ibrance","GRN"
"Xyotax","GRN"
"Nimotuzumab","GRN"
"FOLOTYN","GRN"
"INCB039110","GRN"
"TAXOL","GRN"
"DENOSUMAB","GRN"
"MEKINIST","GRN"
"Canertinib","GRN"
"OSIMERTINIB","GRN"
"PULMICORT RESPULES","GRN"
"TheraCIM-hR3","GRN"
"BAY-949343","GRN"
"Capmatinib","GRN"
"PD 123654","GRN"
"LEPIRUDIN RECOMBINANT","GRN"
"4D5V8","GRN"
"ALIMTA","GRN"
"CAPECITABINE","GRN"
"AVE0005","GRN"
"SIGNIFOR","GRN"
"Zyflo Cr","GRN"
"TREMELIMUMAB","GRN"
"PD-18435","GRN"
"ZIV-AFLIBERCEPT","GRN"
"FULVESTRANT","GRN"
"GILOTRIF","GRN"
"Chromadax","GRN"
"MOCETINOSTAT","GRN"
"Synvinolin","GRN"
"DRISDOL","GRN"
"ZILEUTON","GRN"
"Volociximab","GRN"
"S-1320","GRN"
"ULTANE","GRN"
"PAXENE","GRN"
"DUORESP SPIROMAX","GRN"
"DISOPROFOL","GRN"
"INCB-28060","GRN"
"TARGRETIN","GRN"
"Cetuximab","GRN"
"Votrient","GRN"
"AZD-9291","GRN"
"Foradil","GRN"
"SYMBICORT","GRN"
"CBD","GRN"
"ICI 182,780","GRN"
"FASLODEX","GRN"
"THERALOC","GRN"
"SS1(DSFV)-PE38","GRN"
"PRO-143966","GRN"
"AIRCORT","GRN"
"Bonviva","GRN"
"PF-00299804","GRN"
"Entocort CR","GRN"
"GOE-5549","GRN"
"ZK-00036374","GRN"
"GSK2118436A","GRN"
"MUPARFOSTAT","GRN"
"AZD-1775","GRN"
"CEDIRANIB","GRN"
"Dabrafenib","GRN"
"GSK1120212","GRN"
"Amrubicin","GRN"
"Ciloprost","GRN"
"MEK-162","GRN"
"Ibandronate","GRN"
"Cortiment","GRN"
"Iasibon","GRN"
"Budesonide","GRN"
"ZD-9238","GRN"
"RSR13","GRN"
"Formoterol","GRN"
"CI-1040","GRN"
"QUODIXOR","GRN"
"RANZOLONT","GRN"
"NVP-INC280","GRN"
"INC-280","GRN"
"RETASPIMYCIN","GRN"
"Dacomitinib","GRN"
"Pulmaxan","GRN"
"BAY-94-9343","GRN"
"PULMICORT L.S.","GRN"
"BIBW-2992","GRN"
"NVP-MEK162","GRN"
"Binimetinib","GRN"
"PD-184352","GRN"
"ERBITUX","GRN"
"BB-2516","GRN"
