"Id","Label","Class"
"(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione","(4Z)-6-bromo-4-({[4-(pyrrolidin-1-ylmethyl)phenyl]amino}methylidene)isoquinoline-1,3(2H,4H)-dione","DRUG"
"3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE","3-[5-(1H-IMIDAZOL-1-YL)-7-METHYL-1H-BENZIMIDAZOL-2-YL]-4-[(PYRIDIN-2-YLMETHYL)AMINO]PYRIDIN-2(1H)-ONE","DRUG"
"ATL1101","ATL1101","DRUG"
"Insulin Aspart","Insulin Aspart","DRUG"
"Insulin Degludec","Insulin Degludec","DRUG"
"Insulin glargine","Insulin glargine","DRUG"
"Insulin Lispro","Insulin Lispro","DRUG"
"Insulin Pork","Insulin Pork","DRUG"
"rhIGFBP-3","rhIGFBP-3","DRUG"
"Somatrem","Somatrem","DRUG"
"Ezetimibe","Ezetimibe","DRUG"
"Hesperetin","Hesperetin","DRUG"
"Omega-3-acid ethyl esters","Omega-3-acid ethyl esters","DRUG"
"Briakinumab","Briakinumab","DRUG"
"Risankizumab","Risankizumab","DRUG"
"Ustekinumab","Ustekinumab","DRUG"
"CCX915","CCX915","DRUG"
"INCB3284","INCB3284","DRUG"
"(Hydroxyethyloxy)Tri(Ethyloxy)Octane","(Hydroxyethyloxy)Tri(Ethyloxy)Octane","DRUG"
"B-nonylglucoside","B-nonylglucoside","DRUG"
"Cetilistat","Cetilistat","DRUG"
"Glycerol phenylbutyrate","Glycerol phenylbutyrate","DRUG"
"METHOXYUNDECYLPHOSPHINIC ACID","METHOXYUNDECYLPHOSPHINIC ACID","DRUG"
"MEDI-546","MEDI-546","DRUG"
"ANIFROLUMAB","ANIFROLUMAB","DRUG"
"ABT-874","ABT-874","DRUG"
"J-695","J-695","DRUG"
"LU-415977","LU-415977","DRUG"
"Ozespa","Ozespa","DRUG"
"WAY-165772","WAY-165772","DRUG"
"BSF-415977","BSF-415977","DRUG"
"A-796874.0","A-796874.0","DRUG"
"GSK1363089","GSK1363089","DRUG"
"GSK-089","GSK-089","DRUG"
"Regranex","Regranex","DRUG"
"Lesogaberan","Lesogaberan","DRUG"
"AZD-3355","AZD-3355","DRUG"
"CHEMBL5034","CHEMBL5034","DRUG"
"ARBACLOFEN PLACARBIL","ARBACLOFEN PLACARBIL","DRUG"
"XP19986","XP19986","DRUG"
"CHEMBL2111463","CHEMBL2111463","DRUG"
"Arbaclofen","Arbaclofen","DRUG"
"STX209","STX209","DRUG"
"WY-3478","WY-3478","DRUG"
"XYREM","XYREM","DRUG"
"Sodium oxybate","Sodium oxybate","DRUG"
"KEMSTRO","KEMSTRO","DRUG"
"LIORESAL INTRATH","LIORESAL INTRATH","DRUG"
"BA-34,647","BA-34,647","DRUG"
"Lioresal","Lioresal","DRUG"
"GABLOFEN","GABLOFEN","DRUG"
"Baclofen","Baclofen","DRUG"
"BACLOSPAS-10","BACLOSPAS-10","DRUG"
"LYFLEX","LYFLEX","DRUG"
"BA-34647","BA-34647","DRUG"
"gamma-Aminobutyric acid","gamma-Aminobutyric acid","DRUG"
"SGS-742","SGS-742","DRUG"
"Progabide","Progabide","DRUG"
"Tezampanel","Tezampanel","DRUG"
"Vigabatrin","Vigabatrin","DRUG"
"Oxybate","Oxybate","DRUG"
"SGI-1776","SGI-1776","DRUG"
"CHEMBL3559682","CHEMBL3559682","DRUG"
"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile","(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile","DRUG"
"(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One","(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One","DRUG"
"(4R)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","(4R)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","DRUG"
"(4R)-7-chloro-9-methyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","(4R)-7-chloro-9-methyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","DRUG"
"2,3-diphenyl-1H-indole-7-carboxylic acid","2,3-diphenyl-1H-indole-7-carboxylic acid","DRUG"
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One","3,4-Dihydroxy-1-Methylquinolin-2(1h)-One","DRUG"
"4-(4-hydroxy-3-methylphenyl)-6-phenylpyrimidin-2(5H)-one","4-(4-hydroxy-3-methylphenyl)-6-phenylpyrimidin-2(5H)-one","DRUG"
"4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine","4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine","DRUG"
"5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE","5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE","DRUG"
"6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE","6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE","DRUG"
"Adenosine phosphate","Adenosine phosphate","DRUG"
"Imidazole","Imidazole","DRUG"
"IMIDAZOPYRIDAZIN 1","IMIDAZOPYRIDAZIN 1","DRUG"
"LY-294002","LY-294002","DRUG"
"N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine","N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine","DRUG"
"N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine","N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine","DRUG"
"S,S-(2-Hydroxyethyl)Thiocysteine","S,S-(2-Hydroxyethyl)Thiocysteine","DRUG"
"TOZASERTIB","TOZASERTIB","DRUG"
"Alisertib","Alisertib","DRUG"
"MLN-8237","MLN-8237","DRUG"
"MLN-8054","MLN-8054","DRUG"
"AMG-900","AMG-900","DRUG"
"ABX-MA1","ABX-MA1","DRUG"
"CHEMBL3712863","CHEMBL3712863","DRUG"
"L-2329","L-2329","DRUG"
"Benziodarone","Benziodarone","DRUG"
"CHEMBL6093","CHEMBL6093","DRUG"
"B-436","B-436","DRUG"
"Prenylamine Lactate","Prenylamine Lactate","DRUG"
"Prenylamine","Prenylamine","DRUG"
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE","DRUG"
"2-Methyl-2-Propanol","2-Methyl-2-Propanol","DRUG"
"3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine","3''-(Beta-Chloroethyl)-2'',4''-Dioxo-3, 5''-Spiro-Oxazolidino-4-Deacetoxy-Vinblastine","DRUG"
"Aprindine","Aprindine","DRUG"
"Calcium levulinate","Calcium levulinate","DRUG"
"Cinchocaine","Cinchocaine","DRUG"
"Melatonin","Melatonin","DRUG"
"N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide","N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide","DRUG"
"N-Trimethyllysine","N-Trimethyllysine","DRUG"
"Perphenazine","Perphenazine","DRUG"
"Phenoxybenzamine","Phenoxybenzamine","DRUG"
"Pimozide","Pimozide","DRUG"
"Promethazine","Promethazine","DRUG"
"Trifluoperazine","Trifluoperazine","DRUG"
"Vascace","Vascace","DRUG"
"RO 31-2848/006","RO 31-2848/006","DRUG"
"INHIBACE","INHIBACE","DRUG"
"CILAZAPRIL","CILAZAPRIL","DRUG"
"Ro-312848006","Ro-312848006","DRUG"
"CHEMBL2096989","CHEMBL2096989","DRUG"
"1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid","1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid","DRUG"
"Benazepril","Benazepril","DRUG"
"Candoxatril","Candoxatril","DRUG"
"Enalapril","Enalapril","DRUG"
"Fosinopril","Fosinopril","DRUG"
"Lisinopril","Lisinopril","DRUG"
"Moexipril","Moexipril","DRUG"
"N-acetyl-alpha-D-glucosamine","N-acetyl-alpha-D-glucosamine","DRUG"
"Omapatrilat","Omapatrilat","DRUG"
"Perindopril","Perindopril","DRUG"
"Quinapril","Quinapril","DRUG"
"Rescinnamine","Rescinnamine","DRUG"
"Spirapril","Spirapril","DRUG"
"Temocapril","Temocapril","DRUG"
"Trandolapril","Trandolapril","DRUG"
"Zofenopril","Zofenopril","DRUG"
"Hyteneze 25","Hyteneze 25","DRUG"
"Univasc","Univasc","DRUG"
"MAVIK","MAVIK","DRUG"
"Hyteneze 12.5","Hyteneze 12.5","DRUG"
"ECOPACE","ECOPACE","DRUG"
"RANACE","RANACE","DRUG"
"SQ-28555","SQ-28555","DRUG"
"MCN-A-2833","MCN-A-2833","DRUG"
"CI-906","CI-906","DRUG"
"RU-44570","RU-44570","DRUG"
"GOPTEN","GOPTEN","DRUG"
"MK-521","MK-521","DRUG"
"NOYADA","NOYADA","DRUG"
"Capoten","Capoten","DRUG"
"INDOLAPRIL","INDOLAPRIL","DRUG"
"Odrik","Odrik","DRUG"
"Uniretic","Uniretic","DRUG"
"HOE-498","HOE-498","DRUG"
"LOPACE","LOPACE","DRUG"
"Monopril","Monopril","DRUG"
"Defactinib","Defactinib","DRUG"
"CHEMBL5469","CHEMBL5469","DRUG"
"GSK-2256098","GSK-2256098","DRUG"
"CHEMBL2695","CHEMBL2695","DRUG"
"PF-562271","PF-562271","DRUG"
"PF-00562271","PF-00562271","DRUG"
"VS-4718","VS-4718","DRUG"
"CHEMBL258","CHEMBL258","DRUG"
"AMG-780","AMG-780","DRUG"
"CHEMBL3217395","CHEMBL3217395","DRUG"
"Trebananib","Trebananib","DRUG"
"APD334","APD334","DRUG"
"Etrasimod","Etrasimod","DRUG"
"CHEMBL4333","CHEMBL4333","DRUG"
"ACT-128800","ACT-128800","DRUG"
"Ponesimod","Ponesimod","DRUG"
"BAF-312","BAF-312","DRUG"
"Siponimod","Siponimod","DRUG"
"KRP-203","KRP-203","DRUG"
"ALTIRATINIB","ALTIRATINIB","DRUG"
"CHEMBL4128","CHEMBL4128","DRUG"
"CE-245677","CE-245677","DRUG"
"4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide","4-{[4-{[(1R,2R)-2-(dimethylamino)cyclopentyl]amino}-5-(trifluoromethyl)pyrimidin-2-yl]amino}-N-methylbenzenesulfonamide","DRUG"
"Baricitinib","Baricitinib","DRUG"
"2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE","2-({5-CHLORO-2-[(2-METHOXY-4-MORPHOLIN-4-YLPHENYL)AMINO]PYRIMIDIN-4-YL}AMINO)-N-METHYLBENZAMIDE","DRUG"
"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE","7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE","DRUG"
"Endostatin","Endostatin","DRUG"
"2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE","2,3-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-B]PYRIDIN-4-AMINE","DRUG"
"3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE","DRUG"
"5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE","5,6-DIPHENYL-N-(2-PIPERAZIN-1-YLETHYL)FURO[2,3-D]PYRIMIDIN-4-AMINE","DRUG"
"N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","N-(2,6-dimethylphenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","DRUG"
"N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine","N-(2-chloro-6-methylphenyl)-8-[(3S)-3-methylpiperazin-1-yl]imidazo[1,5-a]quinoxalin-4-amine","DRUG"
"N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","N-(2-chlorophenyl)-5-phenylimidazo[1,5-a]pyrazin-8-amine","DRUG"
"{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid","{4-[(2S)-2-Acetamido-3-({(1S)-1-[3-carbamoyl-4-(cyclohexylmethoxy)phenyl]ethyl}amino)-3-oxopropyl]-2-phosphonophenoxy}acetic acid","DRUG"
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid","{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid","DRUG"
"Asfotase alfa","Asfotase alfa","DRUG"
"Ampicillin","Ampicillin","DRUG"
"N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE","N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE","DRUG"
"AME-133V","AME-133V","DRUG"
"Xiidra","Xiidra","DRUG"
"SAR 1118","SAR 1118","DRUG"
"Lifitegrast","Lifitegrast","DRUG"
"LY-2469298","LY-2469298","DRUG"
"XL-820","XL-820","DRUG"
"AF802","AF802","DRUG"
"2240442","2240442","DRUG"
"Amiselimod","Amiselimod","DRUG"
"CHEMBL3107","CHEMBL3107","DRUG"
"1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid","1,4-Dideoxy-5-Dehydro-O2-Sulfo-Glucuronic Acid","DRUG"
"1,4-Dideoxy-O2-Sulfo-Glucuronic Acid","1,4-Dideoxy-O2-Sulfo-Glucuronic Acid","DRUG"
"ABT-510","ABT-510","DRUG"
"Sucralfate","Sucralfate","DRUG"
"REGN-2176","REGN-2176","DRUG"
"Rinucumab","Rinucumab","DRUG"
"CHEMBL3108633","CHEMBL3108633","DRUG"
"Fovista","Fovista","DRUG"
"Pegpleranib sodium","Pegpleranib sodium","DRUG"
"X01E","X01E","DRUG"
"E01AJ","E01AJ","DRUG"
"E10030","E10030","DRUG"
"CEP-2563","CEP-2563","DRUG"
"CHEMBL1974","CHEMBL1974","DRUG"
"Sorafenib tosylate","Sorafenib tosylate","DRUG"
"BAY-54-9085","BAY-54-9085","DRUG"
"NEXAVAR","NEXAVAR","DRUG"
"BAY 54-9085","BAY 54-9085","DRUG"
"AST-487","AST-487","DRUG"
"NVP-AST487","NVP-AST487","DRUG"
"AKN-028","AKN-028","DRUG"
"SP-924","SP-924","DRUG"
"IMC-EB10","IMC-EB10","DRUG"
"AS-602868","AS-602868","DRUG"
"SPC-839","SPC-839","DRUG"
"Symadex","Symadex","DRUG"
"C-1311","C-1311","DRUG"
"Pegpleranib","Pegpleranib","DRUG"
"TG-100801","TG-100801","DRUG"
"REGRANEX","REGRANEX","DRUG"
"CL 14377","CL 14377","DRUG"
"Methotrexate","Methotrexate","DRUG"
