"Orphanet_79169","Disorder of neurotransmitter metabolism and transport",223
"Orphanet_379","Chronic granulomatous disease",602
"GO_0010876","lipid localization",0
"GO_0007586","digestion",0
"EFO_0003046","heart transplant rejection",1
"EFO_0009834","respiratory process",0
"EFO_0009462","granuloma",3
"EFO_0009463","infarction",0
"EFO_0000544","infection",245
"EFO_0009708","metastasis",60
"GO_0050909","sensory perception of taste",34
"GO_0055062","phosphate ion homeostasis",0
"EFO_0005880","lipid homeostasis",0
"Orphanet_225154","Familial infantile bilateral striatal necrosis",118
"EFO_0005300","word reading",23
"EFO_0004337","intelligence",1137
"HP_0002180","neurodegeneration",6
"GO_0061476","response to anticoagulant",28
"EFO_0009167","response to warfarin",0
"EFO_0010152","response to phenylephrine",11
"GO_0036271","response to methylphenidate",6
"EFO_0006327","response to sertraline",2
"EFO_0005533","response to non-steroidal anti-inflammatory",15
"EFO_0007647","response to vancomycin",1
"EFO_0007923","response to terbinafine",0
"EFO_0007754","response to immunochemotherapy",2
"EFO_0008397","response to disappointment",0
"EFO_0005403","response to dietary potassium supplementation",6
"GO_0006970","response to osmotic stress",0
"GO_0060454","positive regulation of gastric acid secretion",0
"GO_0060455","negative regulation of gastric acid secretion",0
"GO_0035813","regulation of renal sodium excretion",0
"GO_0090257","regulation of muscle system process",0
"GO_0010543","regulation of platelet activation",0
"GO_0040012","regulation of locomotion",0
"GO_0070094","positive regulation of glucagon secretion",0
"EFO_0006820","complicated disease course",2
"EFO_0007755","atopic march",8
"GO_0009206","purine ribonucleoside triphosphate biosynthetic process",0
"GO_0009161","ribonucleoside monophosphate metabolic process",0
"GO_1901293","nucleoside phosphate biosynthetic process",0
"GO_0044260","cellular macromolecule metabolic process",0
"GO_1901135","carbohydrate derivative metabolic process",0
"GO_0009987","cellular process",32
"EFO_1001073","optic nerve neoplasm",35
"MONDO_0002366","autonomic nervous system neoplasm",1120
"EFO_0000500","ganglioneuroma",120
"MONDO_0044993","sympathetic nervous system disease",1074
"Orphanet_233","Duane retraction syndrome",105
"Orphanet_139583","X-linked hereditary sensory and autonomic neuropathy with deafness",2
"Orphanet_314381","Hereditary sensory and autonomic neuropathy type 6",17
"MONDO_0021718","polyneuritis",17
"Orphanet_206634","Genetic skeletal muscle disease",5780
"Orphanet_171430","Severe congenital nemaline myopathy",3
"Orphanet_324581","Benign Samaritan congenital myopathy",0
"Orphanet_52430","Inclusion body myopathy with Paget disease of bone and frontotemporal dementia",463
"MONDO_0004746","myopathy of extraocular muscle",156
"Orphanet_399081","KLHL9-related childhood-onset distal myopathy",0
"Orphanet_257","Epidermolysis bullosa simplex with muscular dystrophy",6
"Orphanet_102014","Autosomal dominant limb-girdle muscular dystrophy",356
"Orphanet_98855","Autosomal recessive Emery-Dreifuss muscular dystrophy",105
"Orphanet_207018","Rare hereditary metabolic disease with peripheral neuropathy",4017
"Orphanet_869","Triple A syndrome",44
"Orphanet_140459","Autosomal recessive hereditary demyelinating motor and sensory neuropathy",692
"MONDO_0036484","Charcot-Marie-Tooth disease, dominant intermediate G",1
"EFO_0009162","charcot-marie-tooth disease, axonal, type 2t",2
"Orphanet_1216","Autosomal dominant congenital benign spinal muscular atrophy",70
"Orphanet_98756","Spinocerebellar ataxia type 2",81
"Orphanet_1496","Corpus callosum agenesis - neuronopathy",214
"Orphanet_1217","Spinal atrophy - ophthalmoplegia - pyramidal syndrome",0
"MONDO_0016375","acquired peripheral movement disorder",151
"EFO_1000854","causalgia",18
"EFO_0003781","carotid artery disease",423
"Orphanet_199354","CARASIL",25
"Orphanet_180","Choroideremia",90
"MONDO_0018792","Moyamoya syndrome",2124
"Orphanet_90280","Chilblain lupus",57
"MONDO_0014757","macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome",1
"Orphanet_3085","Retinitis pigmentosa - intellectual disability - deafness - hypogenitalism",9
"Orphanet_669","Otopalatodigital syndrome",86
"Orphanet_1123","Caudal appendage - deafness",0
"Orphanet_1192","Atherosclerosis - deafness - diabetes - epilepsy - nephropathy",3
"Orphanet_637","Neurofibromatosis type 2",129
"Orphanet_2315","Johanson-Blizzard syndrome",19
"Orphanet_2408","Lowe-Kohn-Cohen syndrome",0
"EFO_0005782","age-related hearing impairment",223
"Orphanet_383","X-linked mixed deafness with perilymphatic gusher",4
"EFO_0009560","otitis externa",16
"EFO_1000918","endolymphatic hydrops",153
"Orphanet_35125","Epidermal nevus syndrome",9
"MONDO_0002977","autoimmune disease of the nervous system",3054
"MONDO_0017582","pituitary adenocarcinoma (disease)",45
"MONDO_0100081","sleep disorder",37
"Orphanet_352298","Genetic muscular channelopathy",637
"Orphanet_207107","Qualitative or quantitative defects of TRIM32",96
"Orphanet_209203","Qualitative or quantitative defects of glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase -",161
"Orphanet_94148","Autosomal dominant cerebellar ataxia type 3",69
"Orphanet_211062","Hereditary episodic ataxia",169
"Orphanet_209970","Episodic ataxia type 7",31
"MONDO_0033043","spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",1
"Orphanet_88644","Autosomal recessive ataxia, Beauce type",16
"Orphanet_1766","Dysequilibrium syndrome",313
"Orphanet_2379","Early-onset parkinsonism - intellectual disability",1
"EFO_0004895","Tourette syndrome",253
"Orphanet_93955","Benign essential blepharospasm",13
"MONDO_0044319","intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies",1
"Orphanet_100070","Progressive non-fluent aphasia",36
"EFO_0004152","chorea",175
"Orphanet_100994","Autosomal dominant spastic paraplegia type 13",9
"Orphanet_100982","Autosomal recessive pure spastic paraplegia",130
"Orphanet_100981","Autosomal recessive complex spastic paraplegia",762
"Orphanet_320396","Autosomal recessive spastic paraplegia type 45",117
"Orphanet_209951","Autosomal recessive spastic paraplegia type 18",214
"Orphanet_280763","Severe intellectual disability and progressive spastic paraplegia",101
"Orphanet_401820","Autosomal recessive spastic paraplegia type 67",0
"Orphanet_391343","Fatal post-viral neurodegenerative disorder",0
"Orphanet_158266","Huntington disease-like syndrome",706
"Orphanet_1020","Early-onset autosomal dominant Alzheimer disease",99
"Orphanet_99012","Autosomal recessive optic atrophy, OPA6 type",11
"Orphanet_83629","Leukoencephalopathy - metaphyseal chondrodysplasia",335
"Orphanet_2222","Hypertrichosis lanuginosa congenita",2
"Orphanet_178506","Brain calcification, Rajab type",1
"EFO_1000156","Central Nervous System Anaplastic Large Cell Lymphoma",3
"Orphanet_96182","Silver-Russell syndrome due to maternal uniparental disomy of chromosome 7",0
"Orphanet_231140","Silver-Russell syndrome due to imprinting defect of 11p15",0
"Orphanet_1553","Curry-Jones syndrome",4
"Orphanet_2710","Oculodentodigital dysplasia",50
"Orphanet_324313","9p13 microdeletion syndrome",8
"Orphanet_35981","Polymicrogyria",289
"Orphanet_404443","Tall stature-intellectual disability-facial dysmorphism syndrome",74
"Orphanet_100011","Lissencephaly with cerebellar hypoplasia type A",0
"Orphanet_56304","Atelosteogenesis type II",67
"Orphanet_85325","X-linked intellectual disability, Stevenson type",0
"Orphanet_93973","Carpenter-Waziri syndrome",3
"Orphanet_93950","X-linked intellectual disability, Sutherland-Haan type",0
"Orphanet_85277","X-linked intellectual disability, Cantagrel type",53
"Orphanet_324410","X-linked intellectual disability - cardiomegaly - congestive heart failure",165
"Orphanet_2484","Osteodysplasty, Melnick-Needles type",8
"Orphanet_3061","X-linked intellectual disability, Raynaud type",0
"Orphanet_3056","X-linked intellectual disability, Brooks type",0
"Orphanet_137831","X-linked intellectual disability - cerebellar hypoplasia",14
"Orphanet_238766","Ptosis - syndactyly - learning difficulties",0
"Orphanet_329332","Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome",139
"Orphanet_85201","Genitopatellar syndrome",4
"Orphanet_1388","Catel-Manzke syndrome",118
"Orphanet_2234","Male hypergonadotropic hypogonadism - intellectual disability - skeletal anomalies",251
"Orphanet_36","Acrocallosal syndrome",23
"Orphanet_3079","Intellectual disability, Buenos-Aires type",2
"Orphanet_357001","19p13.13 microdeletion syndrome",0
"Orphanet_85172","Microcephalic osteodysplastic dysplasia, Saul-Wilson type",1
"Orphanet_2286","Solitary median maxillary central incisor syndrome",27
"Orphanet_2709","Oculodental syndrome, Rutherfurd type",20
"Orphanet_98943","Coloboma of eye lens",0
"Orphanet_98989","Cerulean cataract",97
"MONDO_0007289","cataract 13 with adult I phenotype",1
"Orphanet_1069","Aniridia - absent patella",5
"Orphanet_98632","Glaucoma associated with neural crest cell migration anomaly",486
"Orphanet_2875","Phakomatosis pigmentovascularis",4
"Orphanet_52","Alagille syndrome",101
"Orphanet_99004","Fundus pulverulentus",0
"Orphanet_59181","Sorsby's fundus dystrophy",72
"Orphanet_1871","Progressive cone dystrophy",215
"Orphanet_319640","Retinal macular dystrophy type 2",10
"Orphanet_52427","Retinitis punctata albescens",12
"Orphanet_791","Retinitis pigmentosa",2950
"Orphanet_75374","Bradyopsia",15
"EFO_0005581","red-green color blindness",9
"Orphanet_98652","Lens size anomaly",121
"Orphanet_314588","Distal tetrasomy 15q",0
"Orphanet_96095","3q26 microduplication syndrome",6
"Orphanet_98602","Rare lacrimal system disease",1031
"Orphanet_98609","EEC syndrome and related syndrome",226
"Orphanet_2363","Lacrimoauriculodentodigital syndrome",10
"Orphanet_98603","Secretory apparatus of the lacrimal system anomaly",652
"Orphanet_248","Autosomal recessive hypohidrotic ectodermal dysplasia",37
"Orphanet_293822","MITF-related melanoma and renal cell carcinoma predisposition syndrome",3
"Orphanet_98564","Eyelid border anomaly",293
"Orphanet_98566","Syndromic palpebral coloboma",229
"Orphanet_1876","Oculogastrointestinal muscular dystrophy",6
"Orphanet_98570","Congenital ectropion",103
"Orphanet_98699","Syndromic ichthyosis associated with ocular features",397
"Orphanet_79408","Severe generalized recessive dystrophic epidermolysis bullosa",9
"EFO_0000404","diffuse scleroderma",91
"Orphanet_2431","Central bilateral macrogyria",0
"Orphanet_86906","Hypothalamic hamartomas with gelastic seizures",0
"MONDO_0018614","undetermined early-onset epileptic encephalopathy",5
"EFO_1001926","pathological gambling",32
"Orphanet_1699","Trisomy 12p",4
"Orphanet_139447","Progressive cavitating leukoencephalopathy",1
"Orphanet_2117","Hartsfield-Bixler-Demyer syndrome",93
"Orphanet_269215","Isolated Dandy-Walker malformation without hydrocephalus",0
"Orphanet_268740","Upper thoracic spina bifida aperta",0
"Orphanet_268388","Lumbosacral spina bifida aperta",0
"Orphanet_268392","Cervical spina bifida aperta",0
"Orphanet_60015","Parietal foramina",96
"MONDO_0001595","choreatic disease",175
"MONDO_0020601","mosquito-borne viral encephalitis",229
"MONDO_0020069","chronic encephalitis",106
"MONDO_0019956","encephalitis",1160
"EFO_1000831","bacterial meningitis",291
"EFO_1001021","Listeria meningitis",14
"MONDO_0018686","acquired Creutzfeldt-Jakob disease",2
"EFO_0007509","tick paralysis",2
"MONDO_0100038","complex neurodevelopmental disorder",2916
"EFO_0003756","autism spectrum disorder",2120
"EFO_0003757","Asperger syndrome",227
"MONDO_0009544","macrocephaly/megalencephaly syndrome, autosomal recessive",1
"MONDO_0016428","multiple sclerosis variant",303
"EFO_0009619","neuroma",118
"MONDO_0002749","extracranial neuroblastoma",94
"MONDO_0016697","low grade ependymoma",49
"MONDO_0020687","supratentorial ependymal tumor",40
"EFO_1000026","diffuse intrinsic pontine glioma",229
"MONDO_0016752","benign peripheral nerve sheath tumor",497
"MONDO_0021451","benign neoplasm of brain",61
"MONDO_0020634","grade III meningioma",26
"EFO_0009964","bipolar II disoder",4
"MONDO_0002050","depressive disorder",3657
"EFO_0007436","phencyclidine abuse",0
"EFO_1001907","panic disorder without agoraphobia",5
"MONDO_0024361","circadian rhythm sleep disorder",21
"EFO_0000249","Alzheimer's disease",5673
"EFO_0005411","schizoaffective disorder",328
"EFO_0009965","Schizoaffective disorder-bipolar type",12
"MONDO_0000413","infancy electroclinical syndrome",574
"EFO_0000773","temporal lobe epilepsy",480
"MONDO_0000166","encephalopathy, acute, infection-induced",9
"MONDO_0003081","thalamic disease",1131
"EFO_0009550","headache disorder",1583
"EFO_0009954","post-operative delirium",51
"EFO_1001103","persistent fetal circulation syndrome",96
"EFO_1001443","Tuberculosis, Cutaneous",24
"EFO_1000298","Hydatidiform Mole",232
"EFO_0009681","post term pregnancy",44
"MONDO_0024664","hypertension, pregnancy-induced",1727
"MONDO_0001641","severe pre-eclampsia",372
"MONDO_0016784","gestational trophoblastic disease",460
"EFO_0009812","secondary malignant neoplasm",775
"EFO_1001012","leptomeningeal metastasis",56
"MONDO_0045070","digestive system melanoma",5
"EFO_0001663","prostate carcinoma",6284
"MONDO_0008170","ovarian cancer",5453
"EFO_1001952","endometrial adenosquamous carcinoma",26
"EFO_0005232","endometrium adenocarcinoma",1072
"EFO_1000166","Cervical Intraepithelial Neoplasia Grade 2/3",7
"EFO_1000919","endometrial stromal sarcoma",248
"MONDO_0002974","cervical cancer",3122
"EFO_1000115","Benign Ovarian Mucinous Tumor",8
"EFO_1001757","Adenomyosis",310
"EFO_1000241","Endometrial Stromal Nodule",14
"MONDO_0000650","peritoneal benign neoplasm",73
"EFO_1000050","renal leiomyoma",1
"EFO_1000409","Ossifying Renal Tumor of Infancy",4
"MONDO_0018492","hereditary clear cell renal cell carcinoma",2
"MONDO_0003789","hereditary papillary renal cell carcinoma",5
"MONDO_0019004","kidney Wilms tumor",148
"EFO_0005708","renal cell adenocarcinoma",3769
"MONDO_0021111","ureter neoplasm",33
"EFO_1000530","Skin Cavernous Hemangioma",1
"EFO_1000925","epithelioid and spindle cell nevus",0
"MONDO_0004093","esophageal basaloid carcinoma",1
"MONDO_0056815","liver adenosquamous carcinoma",1
"EFO_1000514","Salivary Gland Adenosquamous Carcinoma",0
"EFO_1001965","pharyngeal squamous cell carcinoma",416
"EFO_0006352","laryngeal squamous cell carcinoma",677
"EFO_1000732","mediastinal lipomatosis",0
"EFO_0001376","synovial sarcoma",501
"EFO_1000019","breast synovial sarcoma",0
"MONDO_0020561","myxoid/round cell liposarcoma",142
"EFO_0003084","round cell liposarcoma",25
"MONDO_0020588","lung PEComa",25
"MONDO_0007608","desmoid tumor",1
"EFO_1000408","Ossifying Fibromyxoid Tumor",21
"MONDO_0045063","major salivary gland adenoid cystic carcinoma",75
"EFO_1000072","Adenomatoid Odontogenic Tumor",35
"MONDO_0021383","neoplasm of floor of mouth",7
"EFO_1001430","Sublingual Gland Neoplasms",0
"EFO_0006890","fibrosis",4375
"EFO_1001486","primary biliary cirrhosis",878
"MONDO_0024470","benign chondrogenic neoplasm",174
"MONDO_0002360","chondroma",51
"EFO_1000399","Non-Functioning Adrenal Cortex Adenoma",9
"MONDO_0003061","benign muscle neoplasm",1086
"EFO_1000590","Thyroid Gland Mucoepidermoid Carcinoma",2
"MONDO_0002368","papillary serous cystadenocarcinoma",45
"EFO_0000641","papillary thyroid carcinoma",3015
"EFO_0000348","clear cell adenocarcinoma",2532
"EFO_1000592","Thyroid Gland Oncocytic Follicular Carcinoma",56
"EFO_1000984","inflammatory breast carcinoma",166
"MONDO_0015277","medullary thyroid gland carcinoma",565
"EFO_0000702","small cell lung carcinoma",2985
"EFO_1000649","estrogen-receptor positive breast cancer",423
"EFO_1000591","Thyroid Gland Mucosa-Associated Lymphoid Tissue Lymphoma",6
"MONDO_0002033","cecum cancer",680
"EFO_1000654","childhood cancer",1660
"MONDO_0019460","acute leukemia of ambiguous lineage",2334
"EFO_1001933","adult acute monocytic leukemia",188
"EFO_1000286","Granulocytic Sarcoma",31
"EFO_0003026","minimally differentiated acute myeloblastic leukemia",60
"MONDO_0020511","precursor B-cell acute lymphoblastic leukemia",222
"MONDO_0020082","dendritic cell tumor",449
"EFO_0005287","reticulum cell sarcoma",247
"MONDO_0021046","breast fibroepithelial neoplasm",121
"EFO_1000481","Plantar Fibromatosis",5
"MONDO_0001023","prolymphocytic leukemia",183
"MONDO_0021054","bone sarcoma",562
"Orphanet_329324","Inverse Klippel-Trénaunay syndrome",0
"EFO_1000099","Atypical Lipomatous Tumor",438
"MONDO_0024292","gastrointestinal polyp",46
"EFO_1000310","Juvenile Polyp",31
"EFO_0007331","islet cell tumor",1360
"MONDO_0024501","appendix neuroendocrine neoplasm",21
"MONDO_0000386","digestive system neuroendocrine tumor, grade 1/2",1349
"MONDO_0002564","jejunal neoplasm",13
"EFO_1000804","anal gland neoplasm",0
"MONDO_0001407","tracheal cancer",29
"MONDO_0002353","glottis neoplasm",31
"MONDO_0021069","malignant endocrine neoplasm",8123
"EFO_1000097","Atypical Carcinoid Tumor",22
"EFO_1000449","Papillary Meningioma",10
"MONDO_0007254","breast cancer",9449
"EFO_1000557","Synovial Chondromatosis",21
"EFO_0003851","meningeal neoplasm",1011
"MONDO_0036870","lymphatic vessel neoplasm",61
"Orphanet_93976","Anotia",11
"Orphanet_811","Shwachman-Diamond syndrome",357
"Orphanet_220","Denys-Drash syndrome",22
"Orphanet_99812","LIG4 syndrome",29
"Orphanet_50944","Schöpf-Schulz-Passarge syndrome",28
"Orphanet_238505","Autosomal recessive lymphoproliferative disease",197
"EFO_0005269","congenital heart malformation",1022
"Orphanet_101063","Situs inversus totalis",64
"Orphanet_99106","Atrial septal defect, ostium primum type",0
"MONDO_0017705","congenital pulmonary venous return anomaly",15
"MONDO_0019821","aneurysm or dilatation of ascending aorta",2
"Orphanet_860","Congenitally uncorrected transposition of the great arteries",41
"MONDO_0013062","long QT syndrome 12",1
"MONDO_0015193","hydrops fetalis (disease)",176
"Orphanet_294953","Limb overgrowth",3
"Orphanet_295044","Macrodactyly of fingers",0
"Orphanet_294973","Humeral agenesis/hypoplasia",0
"Orphanet_2130","Hemimelia",15
"Orphanet_295073","Ulnar hemimelia, bilateral",0
"Orphanet_294929","Terminal limb defects",285
"Orphanet_295138","Symbrachydactyly of hand and foot, bilateral",0
"Orphanet_295112","Congenital absence/hypoplasia of thumb, bilateral",0
"Orphanet_294981","Congenital absence of both lower leg and foot",0
"Orphanet_295107","Apodia, bilateral",0
"Orphanet_295030","Congenital shoulder dislocation",0
"Orphanet_294944","Congenital deformities of limbs",17
"Orphanet_93403","Syndactyly type 2",43
"Orphanet_295173","Central polydactyly of fingers, bilateral",0
"Orphanet_1325","Camptodactyly - taurinuria",0
"Orphanet_280651","Acrodysostosis with multiple hormone resistance",119
"Orphanet_2249","Ulna hypoplasia - intellectual disability",47
"Orphanet_238744","Mammary-digital-nail syndrome",4
"Orphanet_1027","Autosomal recessive amelia",0
"Orphanet_228184","Heart-hand syndrome",340
"Orphanet_3259","Syndactyly-polydactyly-ear lobe syndrome",1
"Orphanet_380","Greig cephalopolysyndactyly syndrome",126
"Orphanet_369979","Finger hyperphalangy-toe anomalies-severe pectus excavatum syndrome",0
"Orphanet_2805","Partial pancreatic agenesis",103
"Orphanet_289","Ellis Van Creveld syndrome",33
"Orphanet_261112","Monosomy 9p",5
"Orphanet_96187","Maternal uniparental disomy of chromosome 21",0
"Orphanet_97678","Maternal uniparental disomy of chromosome 13",0
"Orphanet_96180","Maternal uniparental disomy of chromosome 4",2
"Orphanet_1445","Ring chromosome 21",3
"Orphanet_1448","Ring chromosome 6",1
"Orphanet_261836","Partial deletion of chromosome 18",25
"Orphanet_262119","Partial deletion of the long arm of chromosome 15",1119
"Orphanet_261279","17q23.1q23.2 microdeletion syndrome",25
"Orphanet_262056","Partial deletion of the long arm of chromosome 7",163
"Orphanet_2496","Mesomelia-synostoses syndrome",8
"Orphanet_1581","Non-distal monosomy 10q",0
"Orphanet_48652","Monosomy 22q13",39
"Orphanet_96129","Distal monosomy 19p13.3",0
"Orphanet_262038","Partial deletion of the long arm of chromosome 5",69
"Orphanet_314655","5q31.3 microdeletion syndrome",1
"Orphanet_262206","Partial duplication of chromosome 4",4
"Orphanet_262211","Partial trisomy/tetrasomy of chromosome 5",199
"Orphanet_3307","Tetrasomy 18p",2
"Orphanet_262749","Partial duplication of the short arm of chromosome 7",0
"Orphanet_98131","Total autosomal trisomy",915
"Orphanet_1724","Mosaic trisomy 20",1
"Orphanet_1703","Mosaic trisomy 14",1
"Orphanet_98156","Gonosome number anomaly",399
"Orphanet_3375","Trisomy X",26
"Orphanet_9","Tetrasomy X",0
"Orphanet_263726","Partial deletion of chromosome X",40
"Orphanet_3305","Tetraploidy",94
"Orphanet_231742","Epibulbar lipodermoid - preauricular appendage - polythelia",0
"Orphanet_2005","Laryngo-tracheo-esophageal cleft - pulmonary hypoplasia",0
"Orphanet_69082","Odonto-tricho-ungual-digito-palmar syndrome",53
"Orphanet_284149","Craniosynostosis and dental anomalies",5
"Orphanet_2731","Taurodontia - absent teeth - sparse hair",3
"Orphanet_307766","Curly hair-acral keratoderma-caries syndrome",0
"Orphanet_2916","Postaxial polydactyly - dental and vertebral anomalies",47
"Orphanet_325546","Sex chromosome disorder of sex development",371
"Orphanet_755","Leydig cell hypoplasia",57
"Orphanet_98086","46,XY disorder of sex development due to a defect in testosterone metabolism by peripheral tissue",2
"Orphanet_79094","Grange syndrome",2
"Orphanet_171719","Cutis laxa-Marfanoid syndrome",68
"Orphanet_82004","Ehlers-Danlos syndrome with periventricular heterotopia",0
"Orphanet_2934","Polysyndactyly - cardiac malformation",7
"Orphanet_3429","Verloove Vanhorick-Brubakk syndrome",55
"Orphanet_888","Van der Woude syndrome",59
"Orphanet_2475","White forelock with malformations",114
"Orphanet_2513","Microcephaly - albinism - digital anomalies",140
"EFO_0009020","Aymé-Gripp syndrome",1
"Orphanet_1524","Craniomicromelic syndrome",0
"Orphanet_3210","Summitt syndrome",104
"Orphanet_97945","Intestinal malformation",1770
"Orphanet_2300","Multiple intestinal atresia",22
"Orphanet_139027","Malformation syndrome with skin/mucosae involvement",3725
"Orphanet_158673","Acral dystrophic epidermolysis bullosa",0
"Orphanet_2176","Infantile systemic hyalinosis",2
"Orphanet_2273","Ichthyosis follicularis - alopecia - photophobia",102
"Orphanet_3354","Tricho-oculo-dermo-vertebral syndrome",26
"MONDO_0020021","diaphragmatic or abdominal wall malformation",1799
"Orphanet_2847","Pericardial and diaphragmatic defect",0
"MONDO_0018727","immunodeficiency due to a complement regulatory deficiency",247
"Orphanet_331176","Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency",204
"Orphanet_2621","Low birth weight - dwarfism - dysgammaglobulinemia",0
"Orphanet_169157","T-B+ severe combined immunodeficiency due to CD45 deficiency",241
"Orphanet_280142","Severe combined immunodeficiency due to LCK deficiency",2
"Orphanet_169090","Combined immunodeficiency due to CRAC channel dysfunction",37
