"Source","Target","score"
"RXRA","SCHIZOPHRENIA",0.957266666666667
"RXRG","SCHIZOPHRENIA",0.956279105404893
"SLC39A8","SCHIZOPHRENIA",0.952765562094142
"NOTCH4","SCHIZOPHRENIA",0.902591763714277
"KLC1","SCHIZOPHRENIA",0.84832197607295
"CHRNA3","SCHIZOPHRENIA",0.843380612027017
"FURIN","SCHIZOPHRENIA",0.830320973403887
"SNAP91","SCHIZOPHRENIA",0.806720430916372
"ATP2A2","SCHIZOPHRENIA",0.803897200505975
"LRRN2","SCHIZOPHRENIA",0.757427824953026
"SRPK2","SCHIZOPHRENIA",0.757402878362702
"SNX19","SCHIZOPHRENIA",0.728209168072256
"SF3B1","SCHIZOPHRENIA",0.721908282867679
"FXR1","SCHIZOPHRENIA",0.715509966513251
"DGKZ","SCHIZOPHRENIA",0.711470891047684
"OR12D3","SCHIZOPHRENIA",0.7
"CUL3","SCHIZOPHRENIA",0.698495534762733
"BNIP3L","SCHIZOPHRENIA",0.697562999030075
"TAOK2","SCHIZOPHRENIA",0.693761046974803
"DDR1","SCHIZOPHRENIA",0.686409902215542
"TRIM10","SCHIZOPHRENIA",0.65
"ZKSCAN3","SCHIZOPHRENIA",0.65
"SLC17A3","SCHIZOPHRENIA",0.65
"TNXB","SCHIZOPHRENIA",0.6461780095438
"PLCH2","SCHIZOPHRENIA",0.645526227761174
"HLA-DQA1","SCHIZOPHRENIA",0.639003326315069
"CLCN3","SCHIZOPHRENIA",0.627063710493359
"AKAP6","SCHIZOPHRENIA",0.618626657066307
"GALNT10","SCHIZOPHRENIA",0.611259570531682
"ZNF536","SCHIZOPHRENIA",0.610344937880686
"PJA1","SCHIZOPHRENIA",0.603859733334741
"PRKD1","SCHIZOPHRENIA",0.587351281350616
"PRRC2A","SCHIZOPHRENIA",0.573531333622401
"ZEB2","SCHIZOPHRENIA",0.565037823091893
"PPP1R10","SCHIZOPHRENIA",0.56
"KCNV1","SCHIZOPHRENIA",0.554005978345254
"RGS4","SCHIZOPHRENIA",0.548054230277676
"HLA-DMB","SCHIZOPHRENIA",0.547269987279363
"SYN2","SCHIZOPHRENIA",0.544440405514957
"EMX1","SCHIZOPHRENIA",0.539209666875438
"DAO","SCHIZOPHRENIA",0.537166690891632
"FAM184A","SCHIZOPHRENIA",0.535540221520979
"HLA-DMA","SCHIZOPHRENIA",0.528052287530349
"SLC17A4","SCHIZOPHRENIA",0.526712418266049
"TRIM8","SCHIZOPHRENIA",0.518416375079047
"MAN2A1","SCHIZOPHRENIA",0.517528302897196
"PTGIS","SCHIZOPHRENIA",0.511248229340121
"PTN","SCHIZOPHRENIA",0.503975
"IL2RA","UNIPOLAR DEPRESSION",1
"KCNK3","UNIPOLAR DEPRESSION",1
"CHRND","UNIPOLAR DEPRESSION",1
"BHMT2","UNIPOLAR DEPRESSION",1
"CHRNE","UNIPOLAR DEPRESSION",1
"RBFOX1","UNIPOLAR DEPRESSION",0.928184159117313
"TMEM106B","UNIPOLAR DEPRESSION",0.876371242901015
"ELAVL2","UNIPOLAR DEPRESSION",0.873659001291271
"PCDH9","UNIPOLAR DEPRESSION",0.860748263269822
"PAX5","UNIPOLAR DEPRESSION",0.769571563004717
"IMPDH1","UNIPOLAR DEPRESSION",0.7
"TLR4","UNIPOLAR DEPRESSION",0.670624207637818
"ELAVL4","UNIPOLAR DEPRESSION",0.654930555555556
"MEIS2","UNIPOLAR DEPRESSION",0.643787712999097
"DENND1A","UNIPOLAR DEPRESSION",0.615892705134494
"SLC12A5","UNIPOLAR DEPRESSION",0.608855193337932
"ASTN2","UNIPOLAR DEPRESSION",0.607162372814407
"SOX5","UNIPOLAR DEPRESSION",0.593784230893402
"CSF3R","UNIPOLAR DEPRESSION",0.584259259259259
"ARFGAP2","UNIPOLAR DEPRESSION",0.580518954197016
"DAGLA","UNIPOLAR DEPRESSION",0.576377966478773
"BBX","UNIPOLAR DEPRESSION",0.565549925988102
"CYP7B1","UNIPOLAR DEPRESSION",0.563333333333333
"LHPP","UNIPOLAR DEPRESSION",0.559402287530349
"HIVEP2","UNIPOLAR DEPRESSION",0.555824750036134
