"drug","gene"
"Avagacestat","NCSTN"
"Tarenflurbil","NCSTN"
"FLURIZAN","NCSTN"
"MPC-7869","NCSTN"
"BMS-708163-01","NCSTN"
"NaN","CAST"
"ONO-4819","CAST"
"Rivenprost","CAST"
"CHEMBL1836","CAST"
"Cytotec","CAST"
"SC-29333","CAST"
"Misoprostol","CAST"
"Mysodelle","CAST"
"Topogyne","CAST"
"CHEMBL3710","CAST"
"YTTRIUM Y 90 TACATUZUMAB TETRAXETAN","CAST"
"YTTRIUM (90Y) TACATUZUMAB TETRAXETAN","CAST"
"Afp-Cide","CAST"
"HAFP-31","CAST"
"CHEMBL3712864","CAST"
"Castor oil","CAST"
"Dinoprostone","CAST"
"Grapiprant","CAST"
"Limaprost","CAST"
"Bimatoprost","CAST"
"Gemeprost","CAST"
"Prostin E2","CAST"
"CERVIDIL","CAST"
"DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE","CAST"
"Propess","CAST"
"U-12062","CAST"
"PREPIDIL","CAST"
"U-12,062","CAST"
"Parapaed Six Plus","FAAH"
"Medised Plain","FAAH"
"DISPROL INFANT","FAAH"
"Phenaphen","FAAH"
"CUPANOL","FAAH"
"Medinol For Children","FAAH"
"Paravict","FAAH"
"NEOPAP","FAAH"
"Calpol Six Plus Fastmelts","FAAH"
"MEDINOL OVER 6","FAAH"
"Disprol","FAAH"
"Hedex","FAAH"
"Paracetamol","FAAH"
"Disprol Jnr","FAAH"
"Panadol","FAAH"
"Fennings","FAAH"
"PANADOL ACTIFAST","FAAH"
"Panadol Advan","FAAH"
"Paramin","FAAH"
"PANADOL ACTIFAST SOLB","FAAH"
"Abdine","FAAH"
"Medinol Under 6","FAAH"
"Panaleve","FAAH"
"MEDINOL","FAAH"
"Mandanol","FAAH"
"Panadol Jnr","FAAH"
"GALPAMOL","FAAH"
"Parapaed Jnr","FAAH"
"CHILD LEMSIP","FAAH"
"PANADOL OA","FAAH"
"Tylenol","FAAH"
"Disprol Paed","FAAH"
"Dafalgan","FAAH"
"SALZONE","FAAH"
"Calpol Six Plus","FAAH"
"Angiers","FAAH"
"Acetaminophen","FAAH"
"Ofirmev","FAAH"
"MIRADOL","FAAH"
"Rimadol","FAAH"
"Perfalgan","FAAH"
"PLACIDEX","FAAH"
"Tixymol","FAAH"
"Infants' Feverall","FAAH"
"INFADROPS","FAAH"
"TRAMIL 500","FAAH"
"ALVEDON","FAAH"
"APAP","FAAH"
"Paldesic","FAAH"
"Acephen","FAAH"
"INJECTAPAP","FAAH"
"Panaleve 6 Plus","FAAH"
"JUNIOR PARAPAED","FAAH"
"Datril","FAAH"
"CALPOL","FAAH"
"CHEMBL2243","FAAH"
"NaN","FAAH"
"PF-03732010","FAAH"
"CHEMBL3989384","FAAH"
"1-DODECANOL","FAAH"
"4-(3-{[5-(trifluoromethyl)pyridin-2-yl]oxy}benzyl)piperidine-1-carboxylic acid","FAAH"
"4-(quinolin-3-ylmethyl)piperidine-1-carboxylic acid","FAAH"
"Cannabidiol","FAAH"
"Fostamatinib","FAAH"
"Medical Cannabis","FAAH"
"Methoxy arachidonyl fluorophosphonate","FAAH"
"Nabiximols","FAAH"
"Propofol","FAAH"
"Thiopental","FAAH"
"NaN","JUN"
"PGL-5001","JUN"
"Bentamapimod","JUN"
"AS-602801","JUN"
"CHEMBL2096667","JUN"
"CC-401","JUN"
"CHEMBL4179","JUN"
"CC-930","JUN"
"Tanzisertib","JUN"
"JNK-930","JUN"
"IMAB-362","JUN"
"CLAUDIXIMAB","JUN"
"CHEMBL3712859","JUN"
"ALCLOFENAC","JUN"
"W 7320","JUN"
"MERVAN","JUN"
"CHEMBL221","JUN"
"ANTIPYRINE","JUN"
"Phenazone","JUN"
"Antipyrin","JUN"
"Phenazon","JUN"
"RAZADYNE","JUN"
"GALANTAMINE HYDROBROMIDE","JUN"
"RAZADYNE ER","JUN"
"CHEMBL220","JUN"
"PYRIDOSTIGMINE BROMIDE","JUN"
"Regonal","JUN"
"Mestinon Ret","JUN"
"REGONOL","JUN"
"Mestinon 10","JUN"
"MESTINON","JUN"
"Kalymin","JUN"
"Ecothiopate Iodide","JUN"
"ECOSTIGMINE IODIDE","JUN"
"PHOSPHOLINE IODIDE","JUN"
"Echothiophate Iodide","JUN"
"Pralidoxime chloride","JUN"
"Duodote","JUN"
"2-PAM","JUN"
"Protopam","JUN"
"Protopam Chloride","JUN"
"Contrathion","JUN"
"PRALIDOXIME","JUN"
"2-PAM Chloride","JUN"
"MYTELASE","JUN"
"Ambenonium Chloride","JUN"
"ISOFLUROPHATE","JUN"
"Dyflos","JUN"
"Floropryl","JUN"
"FLUOSTIGMINE","JUN"
"Robinul-Neostig","JUN"
"PROSTIGMINE","JUN"
"Bloxiverz","JUN"
"Neostigmine metilsulfate","JUN"
"NEOSTIGMINE METHYLSULFATE","JUN"
"Cantor","JUN"
"CB-30038","JUN"
"AGR-1240","JUN"
"Minaprine","JUN"
"Brantur","JUN"
"Hexafluronium Bromide","JUN"
"Mylaxen","JUN"
"HEXAFLUORENIUM BROMIDE","JUN"
"Hexaflurone Bromide","JUN"
"DEMEKASTIGMINE BROMIDE","JUN"
"Tosmilen","JUN"
"Humorsol","JUN"
"Demecarium Bromide","JUN"
"Minaprine HCl","JUN"
"MINAPRINE HYDROCHLORIDE","JUN"
"30038CB","JUN"
"ARICEPT EVESS","JUN"
"Donepezil HCl","JUN"
"E-2020","JUN"
"Aricept Odt","JUN"
"DONEPEZIL HYDROCHLORIDE","JUN"
"Aricept","JUN"
"BNAG","JUN"
"BAYER 1420","JUN"
"EPONTOL","JUN"
"WH-5668","JUN"
"FBA 1420","JUN"
"PROPANIDID","JUN"
"TH-2180","JUN"
"Echothiophate","JUN"
"Ecothiopate","JUN"
"TENSILON PRESERVATIVE FREE","JUN"
"Reversol","JUN"
"ENLON","JUN"
"EDROPHONE CHLORIDE","JUN"
"Tensilon","JUN"
"Camsilon","JUN"
"EDROPHONIUM CHLORIDE PRESERVATIVE FREE","JUN"
"Edrophonium Chloride","JUN"
"CEP-1347","JUN"
"KT-1575","JUN"
"CHEMBL1163124","JUN"
"JNJ-26483327","JUN"
"CHEMBL2073","JUN"
"CHEMBL2873","JUN"
"ENZASTAURIN","JUN"
"LY-317615","JUN"
"CHEMBL3045","JUN"
"RUBOXISTAURIN","JUN"
"LY-333531","JUN"
"Arxxant","JUN"
"Parapaed Six Plus","JUN"
"Medised Plain","JUN"
"DISPROL INFANT","JUN"
"Phenaphen","JUN"
"CUPANOL","JUN"
"Medinol For Children","JUN"
"Paravict","JUN"
"NEOPAP","JUN"
"Calpol Six Plus Fastmelts","JUN"
"MEDINOL OVER 6","JUN"
"Disprol","JUN"
"Hedex","JUN"
"Paracetamol","JUN"
"Disprol Jnr","JUN"
"Panadol","JUN"
"Fennings","JUN"
"PANADOL ACTIFAST","JUN"
"Panadol Advan","JUN"
"Paramin","JUN"
"PANADOL ACTIFAST SOLB","JUN"
"Abdine","JUN"
"Medinol Under 6","JUN"
"Panaleve","JUN"
"MEDINOL","JUN"
"Mandanol","JUN"
"Panadol Jnr","JUN"
"GALPAMOL","JUN"
"Parapaed Jnr","JUN"
"CHILD LEMSIP","JUN"
"PANADOL OA","JUN"
"Tylenol","JUN"
"Disprol Paed","JUN"
"Dafalgan","JUN"
"SALZONE","JUN"
"Calpol Six Plus","JUN"
"Angiers","JUN"
"Acetaminophen","JUN"
"Ofirmev","JUN"
"MIRADOL","JUN"
"Rimadol","JUN"
"Perfalgan","JUN"
"PLACIDEX","JUN"
"Tixymol","JUN"
"Infants' Feverall","JUN"
"INFADROPS","JUN"
"TRAMIL 500","JUN"
"ALVEDON","JUN"
"APAP","JUN"
"Paldesic","JUN"
"Acephen","JUN"
"INJECTAPAP","JUN"
"Panaleve 6 Plus","JUN"
"JUNIOR PARAPAED","JUN"
"Datril","JUN"
"CALPOL","JUN"
"CHEMBL2243","JUN"
"Silmitasertib","JUN"
"CX-4945","JUN"
"CHEMBL3629","JUN"
"JNJ-39439335","JUN"
"Mavatrep","JUN"
"CHEMBL4794","JUN"
"ABT-102","JUN"
"PHE-377","JUN"
"PAC-14028","JUN"
"AMG-517","JUN"
"ZOSTRIX HP","JUN"
"Qutenza","JUN"
"ZOSTRIX","JUN"
"Zacin","JUN"
"Capsaicin","JUN"
"JTS-653","JUN"
"XEN-D0501","JUN"
"MR-1817","JUN"
"SYL-1001","JUN"
"AZD1386","JUN"
"SAF312","JUN"
"DWP-05195","JUN"
"MK-2295","JUN"
"MK-2295-005","JUN"
"NGD-8243","JUN"
"SB-705498","JUN"
"GSK705498","JUN"
"GRC-6211","JUN"
"CHEMBL2708","JUN"
"SELONSERTIB","JUN"
"GS-4997","JUN"
"CHEMBL5285","JUN"
"ABBOTT-34842","JUN"
"Butamben Picrate","JUN"
"CHEMBL3119","JUN"
"Butamben","JUN"
"Butesin","JUN"
"BUTYL AMINOBENZOATE","JUN"
"GSK2798745","JUN"
"CHEMBL2872","JUN"
"Aerobid","JUN"
"RS-3999","JUN"
"Aerospan hfa","JUN"
"Syntaris","JUN"
"AEROSPAN","JUN"
"Nasalide","JUN"
"Syntaris Hayfever","JUN"
"NASAREL","JUN"
"Flunisolide","JUN"
"CHEMBL2034","JUN"
"Retisert","JUN"
"Synalar Fte","JUN"
"Synandone","JUN"
"Fluocinolone","JUN"
"Fluotrex","JUN"
"Fluonid","JUN"
"Fluocinolone Acetonide","JUN"
"SYNALAR","JUN"
"Synalar-C","JUN"
"Dermotic","JUN"
"ILUVIEN","JUN"
"SYNALAR-HP","JUN"
"Derma-Smoothe/Fs","JUN"
"Capex","JUN"
"FLUOCET","JUN"
"Synalar-N","JUN"
"FS SHAMPOO","JUN"
"Vanos","JUN"
"Fluocinonide","JUN"
"FLUOCINOLIDE","JUN"
"Fluocinonide Emulsified Base","JUN"
"LIDEX","JUN"
"Lidex-E","JUN"
"Metosyn","JUN"
"METOSYN FAPG","JUN"
"CORT-125134","JUN"
"AirFluSal Forspiro","JUN"
"Fluticasone Propionate","JUN"
"Sirdupla","JUN"
"Flovent Diskus 50","JUN"
"Seretide 50","JUN"
"Seretide 250","JUN"
"FLOVENT DISKUS 100","JUN"
"Sereflo","JUN"
"Flixonase","JUN"
"FLONASE","JUN"
"Fluticasone","JUN"
"Flovent","JUN"
"Flovent Hfa","JUN"
"Xhance","JUN"
"Flovent Diskus 250","JUN"
"CUTIVATE","JUN"
"Fluticasone propionate ","JUN"
"CCI 18781","JUN"
"SERETIDE 100","JUN"
"NASOFAN","JUN"
"PIRINASE","JUN"
"ARMONAIR RESPICLICK","JUN"
"Flutiform","JUN"
"Seretide 125","JUN"
"Seretide 500","JUN"
"FLONASE ALLERGY RELIEF","JUN"
"Aerivio Spiromax","JUN"
"Flixotide","JUN"
"RHINOCORT AQUA 64","JUN"
"Pulmicort L.S.","JUN"
"UCERIS","JUN"
"PULMICORT RESPULES","JUN"
"DUORESP SPIROMAX","JUN"
"RHINOCORT ALLERGY","JUN"
"Budenofalk","JUN"
"Entocort CR","JUN"
"BUDEFLAM AQUANASE","JUN"
"Budelin Novolizer","JUN"
"SYMBICORT","JUN"
"PULMICORT FLEXHALER","JUN"
"Pulmicort","JUN"
"S-1320","JUN"
"ENTOCORT EC","JUN"
"Cortiment","JUN"
"Pulmaxan","JUN"
"RHINOCORT AQUA","JUN"
"PREFERID","JUN"
"Budesonide","JUN"
"Aircort","JUN"
"Entocort","JUN"
"RHINOCORT","JUN"
"U-67590A","JUN"
"MEDROL","JUN"
"Medrone","JUN"
"U-67,590A","JUN"
"Methylprednisolone","JUN"
"ALCLOMETASONE","JUN"
"ALCLOMETASONE DIPROPIONATE","JUN"
"SCH 22219","JUN"
"MODRASONE","JUN"
"Aclovate","JUN"
"PF-04171327","JUN"
"FOSDAGROCORAT","JUN"
"Hytone","JUN"
"Stie-Cort","JUN"
"Ala-Scalp","JUN"
"Hydrocortone","JUN"
"Dermaspray Demang","JUN"
"TIMODINE","JUN"
"Canesten HC","JUN"
"EFCORTELAN P","JUN"
"Hc #4","JUN"
"Nutracort","JUN"
"NYBADEX","JUN"
"Perinal","JUN"
"Epicort","JUN"
"BETA-HC","JUN"
"Cort-Dome","JUN"
"Cortenema","JUN"
"Hydrocort In Wte Soft Paraf","JUN"
"Exe-Cort","JUN"
"Anflam","JUN"
"AEROSEB-HC","JUN"
"COLOCORT","JUN"
"HYDROCORT IN CETOMACROGOL FOR A","JUN"
"Nogenic hc","JUN"
"CORTENEM","JUN"
"Cipro HC","JUN"
"Terra-Cortril Nystatin","JUN"
"Anusol hc","JUN"
"MEDICORT","JUN"
"OTOSEPTIL","JUN"
"Hydroderm HC","JUN"
"OTOSPORIN","JUN"
"UNIROID HC","JUN"
"Cor-Oticin","JUN"
"Tri-Cicatrin","JUN"
"Alphaderm","JUN"
"CORTEF","JUN"
"Eurax-Hc","JUN"
"Germoloids HC","JUN"
"DERMA CARE HYDROCORT","JUN"
"Anusol Plus HC","JUN"
"Cortril","JUN"
"Anugesic HC","JUN"
"DAKTACORT","JUN"
"HC #1","JUN"
"Proctosedyl","JUN"
"EVACORT","JUN"
"Proctocream HC","JUN"
"DERMACORT","JUN"
"XYLOPROCT","JUN"
"ZENOXONE","JUN"
"BALNEOL-HC","JUN"
"Locoid","JUN"
"HYDRO-RX","JUN"
"Hydrocortisone","JUN"
"Topisone","JUN"
"HC45","JUN"
"MILDISON LIPOCREAM","JUN"
"PROCTOFOAM HC","JUN"
"GREGODERM","JUN"
"Hi-Cor","JUN"
"FLEXICORT","JUN"
"Glycort","JUN"
"PROCTOCORT","JUN"
"Eurax-Hydrocort","JUN"
"Sential HC","JUN"
"Ala-Cort","JUN"
"Anucort-HC","JUN"
"Synacort","JUN"
"CORTISOL","JUN"
"ECONACORT","JUN"
"ACTICORT","JUN"
"UNIROID","JUN"
"NYSTAFORM-HC","JUN"
"Dioderm","JUN"
"Cortifoam","JUN"
"H-CORT","JUN"
"HYDROCORT IN CALAMINE OILY","JUN"
"PENECORT","JUN"
"Hc (hydrocortisone)","JUN"
"Daktacort Hydrocort","JUN"
"ELDECORT","JUN"
"Hydroderm","JUN"
"Cetacort","JUN"
"DOME-CORT","JUN"
"Texacort","JUN"
"Neo-Cortef","JUN"
"U-Cort","JUN"
"CORLAN","JUN"
"Quinocort","JUN"
"Hydrocortisone In Absorbase","JUN"
"PLENADREN","JUN"
"Micort-HC","JUN"
"Timocort","JUN"
"ACETASOL HC","JUN"
"JUNGLE FOR","JUN"
"Ophthocort","JUN"
"Cobadex","JUN"
"Terra-Cortril","JUN"
"Calmurid HC","JUN"
"ANUSOL SOOTHING RELIEF","JUN"
"BETAMETHASONE BENZOATE","JUN"
"W-5975","JUN"
"UTICORT","JUN"
"ZK 245186","JUN"
"BOL-303242-X","JUN"
"Mapracorat","JUN"
"PF-00251802","JUN"
"DAGROCORAT","JUN"
"DepMedalone","JUN"
"DEPO-MEDRONE","JUN"
"Medrol Acetate","JUN"
"DEPO-MEDROL","JUN"
"METHYL PREDNISOLONE ACETATE","JUN"
"METHYLPREDNISOLONE ACETATE","JUN"
"M-predrol","JUN"
"NEO-MEDRONE","JUN"
"Westcort","JUN"
"HYDROCORTISONE VALERATE","JUN"
"Meprednisone","JUN"
"BETAPAR","JUN"
"SCH 4358","JUN"
"CORT 108297","JUN"
"LOTEMAX","JUN"
"P-5604","JUN"
"Loteprednol","JUN"
"Airex","JUN"
"CDDD-5604","JUN"
"Loteprednol Etabonate","JUN"
"Alrex","JUN"
"HGP-1","JUN"
"SERNIVO","JUN"
"Alphatrex","JUN"
"DIPROSONE","JUN"
"BETAMETHASONE DIPROPIONATE","JUN"
"Diprolene","JUN"
"SCH 11460","JUN"
"Diprolene Af","JUN"
"Stiedex","JUN"
"DESOXIMETASONE","JUN"
"TOPICORT","JUN"
"HOE-304","JUN"
"A-41-304","JUN"
"STIEDEX LP","JUN"
"R 2113","JUN"
"TOPICORT LP","JUN"
"STIEDEX LPN","JUN"
"ORG-34517","JUN"
"SCH 900636","JUN"
"REMIDERM","JUN"
"TRIVARIS","JUN"
"Nasacort Aq","JUN"
"Pevaryl T.C.","JUN"
"AUREOCORT","JUN"
"Oralone","JUN"
"Aristocort A","JUN"
"TRIACORT","JUN"
"Kenacourt","JUN"
"Kenalog","JUN"
"TRIATEX","JUN"
"Flutex","JUN"
"ZILRETTA","JUN"
"Oracort","JUN"
"NASACORT HFA","JUN"
"Tri-Nasal","JUN"
"Aristogel","JUN"
"Azmacort","JUN"
"TRYMEX","JUN"
"Remotic","JUN"
"NASACORT","JUN"
"KENALOG IN ORABASE","JUN"
"Kenalog-H","JUN"
"Gppe Ear Oint","JUN"
"TRIAMCINOLONE ACETONIDE IN ABSORBASE","JUN"
"Audicort","JUN"
"TRIAMCINOLONE ACETONIDE","JUN"
"SILDERM","JUN"
"Kenalog-40","JUN"
"Adcortyl In Orabase","JUN"
"Triacet","JUN"
"ARISTOCORT","JUN"
"ADCORTYL","JUN"
"KENACORT","JUN"
"NYSTADERMAL","JUN"
"Nasacort allergy 24 hour","JUN"
"Triderm","JUN"
"Allernaze","JUN"
"Triesence","JUN"
"Vetalog","JUN"
"TRI-ADCORTYL","JUN"
"Kenalog-10","JUN"
"Gppe Ear Dps Cap","JUN"
"PARAMETHASONE ACETATE","JUN"
"Haldrone","JUN"
"PARAMETHASONE","JUN"
"HYDROXYMESTERONE","JUN"
"Medrysone","JUN"
"Hms","JUN"
"U-8471","JUN"
"PREDNISONE INTENSOL","JUN"
"LODOTRA","JUN"
"CORTANCYL","JUN"
"PARACORT","JUN"
"DELTASONE","JUN"
"PREDNICEN-M","JUN"
"DELTA-DOME","JUN"
"Decortisyl","JUN"
"CORTAN","JUN"
"FERNISONE","JUN"
"Liquid Pred","JUN"
"Orasone","JUN"
"METICORTEN","JUN"
"Sterapred","JUN"
"RAYOS","JUN"
"PREDNISONE","JUN"
"Servisone","JUN"
"HC45 HYDROCORT","JUN"
"FRAMYCORT","JUN"
"Cortucid","JUN"
"Hemsol-Hc","JUN"
"Colifoam","JUN"
"GPPE FOAM AERO","JUN"
"Hydrocortisone Acetate","JUN"
"Cortef Acetate","JUN"
"DRICORT","JUN"
"EPIFOAM","JUN"
"Hydrocal","JUN"
"Barquinol HC","JUN"
"Fucidin H","JUN"
"Chloromycetin Hydrocort","JUN"
"Orabase Hca","JUN"
"GENTICIN HC","JUN"
"Hepacort Plus","JUN"
"GPPE EAR SUSP","JUN"
"Lanacort","JUN"
"Gentisone HC","JUN"
"GPPE EYE CRM","JUN"
"Dexone 4","JUN"
"DEXSOL","JUN"
"Decaspray","JUN"
"DEXAMETHASONE INTENSOL","JUN"
"Dexacortisyl","JUN"
"DECADRON","JUN"
"Maxitrol","JUN"
"DEXONE 0.5","JUN"
"Hexadrol","JUN"
"SPERSADEX COMP","JUN"
"DEXONE 0.75","JUN"
"MAXIDEX","JUN"
"DEXAMETHASONE PALMITATE","JUN"
"Otomize","JUN"
"GPPE EAR SPY","JUN"
"Sofradex","JUN"
"OZURDEX","JUN"
"DECADRON-75","JUN"
"MARTAPAN","JUN"
"Dexamethasone Valerate","JUN"
"Dexacen-4","JUN"
"Decadron-LA","JUN"
"DEXAMETHASONE METASULFOBENZOATE SODIUM","JUN"
"DECADERM","JUN"
"DEXONE 1.5","JUN"
"ORADEXON","JUN"
"Aeroseb-Dex","JUN"
"FLUORMETHYLPREDNISOLONE","JUN"
"Mymethasone","JUN"
"Dexamethasone","JUN"
"Neodecadron","JUN"
"DROPODEX","JUN"
"TOBRADEX","JUN"
"Dalalone","JUN"
"Dexair","JUN"
"Dexone","JUN"
"DEXAFREE","JUN"
"Dexacort","JUN"
"Kortico Injection","JUN"
"HYDROCORTISONE SODIUM SUCCINATE","JUN"
"Hcss","JUN"
"Solu-Cortef","JUN"
"A-Hydrocort","JUN"
"CORTATE","JUN"
"CORTELAN","JUN"
"Cortisone","JUN"
"Cortisone acetate","JUN"
"Cortisyl","JUN"
"CORTONE","JUN"
"Cortistab","JUN"
"VALISONE","JUN"
"Betameth Val Oint0.025% 50%CoalTar","JUN"
"BETA-VAL","JUN"
"Audavate RD","JUN"
"BETADERM","JUN"
"Valnac","JUN"
"BETATREX","JUN"
"Betameth Val Oint 0.1% 50% CoalTar","JUN"
"Luxiq","JUN"
"Bettamousse","JUN"
"Betamethasone valerate","JUN"
"BETNOVATE RD","JUN"
"XEMACORT","JUN"
"BETESIL","JUN"
"Dermabet","JUN"
"Betameth Val Oint 0.1% 25%Coal Tar","JUN"
"BETACAP","JUN"
"FUCIBET","JUN"
"Betnovate-C","JUN"
