"Drug","Gene","Disease"
"Balsalazide","ALOX5AP","BIPOLAR DISORDER"
"MEZAVANT XL","ALOX5AP","BIPOLAR DISORDER"
"Mesalazine ","ALOX5AP","BIPOLAR DISORDER"
"Meclodium","ALOX5AP","BIPOLAR DISORDER"
"SULPHASALAZINE","ALOX5AP","BIPOLAR DISORDER"
"Meclomen","ALOX5AP","BIPOLAR DISORDER"
"APRISO","ALOX5AP","BIPOLAR DISORDER"
"Salofalk","ALOX5AP","BIPOLAR DISORDER"
"DELZICOL","ALOX5AP","BIPOLAR DISORDER"
"ATRELEUTON","ALOX5AP","BIPOLAR DISORDER"
"Azulfidine EN-Tabs","ALOX5AP","BIPOLAR DISORDER"
"LIALDA","ALOX5AP","BIPOLAR DISORDER"
"Sfrowasa","ALOX5AP","BIPOLAR DISORDER"
"Meclofenamic Acid","ALOX5AP","BIPOLAR DISORDER"
"Salazopyrin E.C.","ALOX5AP","BIPOLAR DISORDER"
"Sulfasalazine","ALOX5AP","BIPOLAR DISORDER"
"SAS-500","ALOX5AP","BIPOLAR DISORDER"
"SALAZOPYRIN","ALOX5AP","BIPOLAR DISORDER"
"SALICYLAZOSULFAPYRIDINE","ALOX5AP","BIPOLAR DISORDER"
"PENTASA SR","ALOX5AP","BIPOLAR DISORDER"
"ABT-761","ALOX5AP","BIPOLAR DISORDER"
"Azulfidine EN","ALOX5AP","BIPOLAR DISORDER"
"IPOCOL","ALOX5AP","BIPOLAR DISORDER"
"AZULFIDINE","ALOX5AP","BIPOLAR DISORDER"
"FISALAMINE","ALOX5AP","BIPOLAR DISORDER"
"S.A.S.-500","ALOX5AP","BIPOLAR DISORDER"
"Olsalazine","ALOX5AP","BIPOLAR DISORDER"
"COLTEC EC","ALOX5AP","BIPOLAR DISORDER"
"OCTASA","ALOX5AP","BIPOLAR DISORDER"
"ASACOL HD","ALOX5AP","BIPOLAR DISORDER"
"ZYFLO CR","ALOX5AP","BIPOLAR DISORDER"
"S.A.S.","ALOX5AP","BIPOLAR DISORDER"
"Dipentum","ALOX5AP","BIPOLAR DISORDER"
"CI-583","ALOX5AP","BIPOLAR DISORDER"
"MIPOMERSEN","APOB","ALZHEIMER'S DISEASE"
"Prolia","ATP2A2","SCHIZOPHRENIA"
"Xgeva","ATP2A2","SCHIZOPHRENIA"
"Prolia, Ranmark Xgeva","ATP2A2","SCHIZOPHRENIA"
"CHEMBL2364162","ATP2A2","SCHIZOPHRENIA"
"AMGN-0007","ATP2A2","SCHIZOPHRENIA"
"Pantoprazole Sodium","ATP4A","SCHIZOPHRENIA"
"Protonix Iv","ATP4A","SCHIZOPHRENIA"
"CHEMBL2095173","ATP4A","SCHIZOPHRENIA"
"Esomeprazole Magnesium","ATP4A","SCHIZOPHRENIA"
"NEXIUM","ATP4A","SCHIZOPHRENIA"
"Nexium 24hr","ATP4A","SCHIZOPHRENIA"
"H199/18 Magnesium Trihydrate","ATP4A","SCHIZOPHRENIA"
"DEXLANSOPRAZOLE","ATP4A","SCHIZOPHRENIA"
"T-168390","ATP4A","SCHIZOPHRENIA"
"DEXILANT SOLUTAB","ATP4A","SCHIZOPHRENIA"
"Kapidex","ATP4A","SCHIZOPHRENIA"
"TAK-390","ATP4A","SCHIZOPHRENIA"
"DEXILANT","ATP4A","SCHIZOPHRENIA"
"ACIPHEX","ATP4A","SCHIZOPHRENIA"
"Aciphex sprinkle","ATP4A","SCHIZOPHRENIA"
"PARIET","ATP4A","SCHIZOPHRENIA"
"RABEPRAZOLE SODIUM","ATP4A","SCHIZOPHRENIA"
"LY-307640","ATP4A","SCHIZOPHRENIA"
"LOSEC MUPS","ATP4A","SCHIZOPHRENIA"
"OMERAN","ATP4A","SCHIZOPHRENIA"
"MEZZOPRAM","ATP4A","SCHIZOPHRENIA"
"Zanprol","ATP4A","SCHIZOPHRENIA"
"H 168/68","ATP4A","SCHIZOPHRENIA"
"Mopral","ATP4A","SCHIZOPHRENIA"
"NEXIUM IV","ATP4A","SCHIZOPHRENIA"
"H199/18 Sodium","ATP4A","SCHIZOPHRENIA"
"Esomeprazole Sodium","ATP4A","SCHIZOPHRENIA"
"ESOMEPRAZOLE STRONTIUM","ATP4A","SCHIZOPHRENIA"
"FM0F67","ATP4A","SCHIZOPHRENIA"
"Omeprazole Magnesium","ATP4A","SCHIZOPHRENIA"
"PRILOSEC OTC","ATP4A","SCHIZOPHRENIA"
"H 168/68 Magnesium","ATP4A","SCHIZOPHRENIA"
"PREVACID IV","ATP4A","SCHIZOPHRENIA"
"OPIREN","ATP4A","SCHIZOPHRENIA"
"ZOTON","ATP4A","SCHIZOPHRENIA"
"LANSOPRAZOLE","ATP4A","SCHIZOPHRENIA"
"Digitoxoside","ATP4A","SCHIZOPHRENIA"
"Nativelle Digitaline","ATP4A","SCHIZOPHRENIA"
"Crystodigin","ATP4A","SCHIZOPHRENIA"
"DIGITOXIN","ATP4A","SCHIZOPHRENIA"
"DIGIMERCK","ATP4A","SCHIZOPHRENIA"
"CHEMBL2095186","ATP4A","SCHIZOPHRENIA"
"Deslanoside","ATP4A","SCHIZOPHRENIA"
"Cedilanid-D","ATP4A","SCHIZOPHRENIA"
"Desacetyl-Lanatoside C","ATP4A","SCHIZOPHRENIA"
"Acetyldigitoxin","ATP4A","SCHIZOPHRENIA"
"ACYLANID","ATP4A","SCHIZOPHRENIA"
"Lanoxin-125","ATP4A","SCHIZOPHRENIA"
"LANOXIN PEDIATRIC","ATP4A","SCHIZOPHRENIA"
"Lanoxicaps","ATP4A","SCHIZOPHRENIA"
"Lanoxin-PG","ATP4A","SCHIZOPHRENIA"
"Esomeprazole","ATP4A","SCHIZOPHRENIA"
"Potassium gluconate","ATP4A","SCHIZOPHRENIA"
"Rabeprazole","ATP4A","SCHIZOPHRENIA"
"Almitrine","ATP4A","SCHIZOPHRENIA"
"Ciclopirox","ATP4A","SCHIZOPHRENIA"
"Istaroxime","ATP4A","SCHIZOPHRENIA"
"Magnesium acetate","ATP4A","SCHIZOPHRENIA"
"Magnesium cation","ATP4A","SCHIZOPHRENIA"
"Magnesium gluconate","ATP4A","SCHIZOPHRENIA"
"Magnesium lactate","ATP4A","SCHIZOPHRENIA"
"Magnesium levulinate","ATP4A","SCHIZOPHRENIA"
"Ouabain","ATP4A","SCHIZOPHRENIA"
"Potassium acetate","ATP4A","SCHIZOPHRENIA"
"Potassium cation","ATP4A","SCHIZOPHRENIA"
"Potassium sulfate","ATP4A","SCHIZOPHRENIA"
"Rubidium Rb-82","ATP4A","SCHIZOPHRENIA"
"Trichlormethiazide","ATP4A","SCHIZOPHRENIA"
"NEXIUM CONTROL","ATP4A","SCHIZOPHRENIA"
"PANTOLOC CONTROL","ATP4A","SCHIZOPHRENIA"
"Nexium I.V.","ATP4A","SCHIZOPHRENIA"
"Emozul","ATP4A","SCHIZOPHRENIA"
"Vascace","BACE1","ALZHEIMER'S DISEASE"
"RO 31-2848/006","BACE1","ALZHEIMER'S DISEASE"
"INHIBACE","BACE1","ALZHEIMER'S DISEASE"
"CILAZAPRIL","BACE1","ALZHEIMER'S DISEASE"
"Ro-312848006","BACE1","ALZHEIMER'S DISEASE"
"CHEMBL2096989","BACE1","ALZHEIMER'S DISEASE"
"1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid","BACE1","ALZHEIMER'S DISEASE"
"Benazepril","BACE1","ALZHEIMER'S DISEASE"
"Candoxatril","BACE1","ALZHEIMER'S DISEASE"
"Enalapril","BACE1","ALZHEIMER'S DISEASE"
"Fosinopril","BACE1","ALZHEIMER'S DISEASE"
"Lisinopril","BACE1","ALZHEIMER'S DISEASE"
"Moexipril","BACE1","ALZHEIMER'S DISEASE"
"N-acetyl-alpha-D-glucosamine","BACE1","ALZHEIMER'S DISEASE"
"Omapatrilat","BACE1","ALZHEIMER'S DISEASE"
"Perindopril","BACE1","ALZHEIMER'S DISEASE"
"Quinapril","BACE1","ALZHEIMER'S DISEASE"
"Rescinnamine","BACE1","ALZHEIMER'S DISEASE"
"Spirapril","BACE1","ALZHEIMER'S DISEASE"
"Temocapril","BACE1","ALZHEIMER'S DISEASE"
"Trandolapril","BACE1","ALZHEIMER'S DISEASE"
"Zofenopril","BACE1","ALZHEIMER'S DISEASE"
"Hyteneze 25","BACE1","ALZHEIMER'S DISEASE"
"Univasc","BACE1","ALZHEIMER'S DISEASE"
"MAVIK","BACE1","ALZHEIMER'S DISEASE"
"Hyteneze 12.5","BACE1","ALZHEIMER'S DISEASE"
"ECOPACE","BACE1","ALZHEIMER'S DISEASE"
"RANACE","BACE1","ALZHEIMER'S DISEASE"
"SQ-28555","BACE1","ALZHEIMER'S DISEASE"
"MCN-A-2833","BACE1","ALZHEIMER'S DISEASE"
"CI-906","BACE1","ALZHEIMER'S DISEASE"
"RU-44570","BACE1","ALZHEIMER'S DISEASE"
"GOPTEN","BACE1","ALZHEIMER'S DISEASE"
"MK-521","BACE1","ALZHEIMER'S DISEASE"
"NOYADA","BACE1","ALZHEIMER'S DISEASE"
"Capoten","BACE1","ALZHEIMER'S DISEASE"
"INDOLAPRIL","BACE1","ALZHEIMER'S DISEASE"
"Odrik","BACE1","ALZHEIMER'S DISEASE"
"Uniretic","BACE1","ALZHEIMER'S DISEASE"
"HOE-498","BACE1","ALZHEIMER'S DISEASE"
"LOPACE","BACE1","ALZHEIMER'S DISEASE"
"Monopril","BACE1","ALZHEIMER'S DISEASE"
"ABX-MA1","BCAM","ALZHEIMER'S DISEASE"
"CHEMBL3712863","BCAM","ALZHEIMER'S DISEASE"
"Betaine HCl","BHMT2","UNIPOLAR DEPRESSION"
"BETAINE HYDROCHLORIDE","BHMT2","UNIPOLAR DEPRESSION"
"Acidol Pepsin","BHMT2","UNIPOLAR DEPRESSION"
"CYSTADANE","BHMT2","UNIPOLAR DEPRESSION"
"LYCINE HYDROCHLORIDE","BHMT2","UNIPOLAR DEPRESSION"
"Lycine HCl","BHMT2","UNIPOLAR DEPRESSION"
"CHEMBL3391661","BHMT2","UNIPOLAR DEPRESSION"
"Methionine","BHMT2","UNIPOLAR DEPRESSION"
"S-(D-Carboxybutyl)-L-Homocysteine","BHMT2","UNIPOLAR DEPRESSION"
"Betaine","BHMT2","UNIPOLAR DEPRESSION"
"Betaine, anhydrous","BHMT2","UNIPOLAR DEPRESSION"
"FAMPYRA","CACNA1A","ANXIETY DISORDER"
"Ampyra","CACNA1A","ANXIETY DISORDER"
"FAMPRIDINE","CACNA1A","ANXIETY DISORDER"
"CHEMBL2363032","CACNA1H","ANXIETY DISORDER"
"TERODILINE","CACNA1H","ANXIETY DISORDER"
"MICTURIN 25","CACNA1H","ANXIETY DISORDER"
"MICTURIN 12.5","CACNA1H","ANXIETY DISORDER"
"TERODILINE HYDROCHLORIDE","CACNA1H","ANXIETY DISORDER"
"Terodiline HCl","CACNA1H","ANXIETY DISORDER"
"VASCOR","CACNA1H","ANXIETY DISORDER"
"Bepridil HCl","CACNA1H","ANXIETY DISORDER"
"CERM 1978","CACNA1H","ANXIETY DISORDER"
"Bepadin","CACNA1H","ANXIETY DISORDER"
"BEPRIDIL HYDROCHLORIDE","CACNA1H","ANXIETY DISORDER"
"ATAGABALIN","CACNA1H","ANXIETY DISORDER"
"ALZAIN","CACNA1H","ANXIETY DISORDER"
"Lyrica cr","CACNA1H","ANXIETY DISORDER"
"MJF-12637","CACNA1H","ANXIETY DISORDER"
"SULOCTIDIL","CACNA1H","ANXIETY DISORDER"
"CP-556S","CACNA1H","ANXIETY DISORDER"
"CHEMBL1800","CACNA1H","ANXIETY DISORDER"
"NBI-77860","CACNA1H","ANXIETY DISORDER"
"GSK561679","CACNA1H","ANXIETY DISORDER"
"GSK561679A","CACNA1H","ANXIETY DISORDER"
"Crf1 Antagonist","CACNA1H","ANXIETY DISORDER"
"BMS562086","CACNA1H","ANXIETY DISORDER"
"GW-876008","CACNA1H","ANXIETY DISORDER"
"Emicerfont","CACNA1H","ANXIETY DISORDER"
"GW876008X","CACNA1H","ANXIETY DISORDER"
"ONO-2333Ms","CACNA1H","ANXIETY DISORDER"
"Corticorelin ovine triflutate","CACNA1H","ANXIETY DISORDER"
"MILONTIN","CACNA1H","ANXIETY DISORDER"
"EMESIDE","CACNA1H","ANXIETY DISORDER"
"ETHOSUXIMIDE","CACNA1H","ANXIETY DISORDER"
"PHENSUXIMIDE","CACNA1H","ANXIETY DISORDER"
"ZARONTIN","CACNA1H","ANXIETY DISORDER"
"CI-366","CACNA1H","ANXIETY DISORDER"
"ISOETHADIONE","CACNA1H","ANXIETY DISORDER"
"CN-10,395","CACNA1H","ANXIETY DISORDER"
"PARAMETHADIONE","CACNA1H","ANXIETY DISORDER"
"POSICOR 100","CACNA1H","ANXIETY DISORDER"
"Celontin","CACNA1H","ANXIETY DISORDER"
"SUXINUTIN","CACNA1H","ANXIETY DISORDER"
"MESUXIMIDE","CACNA1H","ANXIETY DISORDER"
"TROXIDONE","CACNA1H","ANXIETY DISORDER"
"METHSUXIMIDE","CACNA1H","ANXIETY DISORDER"
"CN-10395","CACNA1H","ANXIETY DISORDER"
"PM-671","CACNA1H","ANXIETY DISORDER"
"PARADIONE","CACNA1H","ANXIETY DISORDER"
"Trimethadione","CACNA1H","ANXIETY DISORDER"
"Tridione","CACNA1H","ANXIETY DISORDER"
"POSICOR 50","CACNA1H","ANXIETY DISORDER"
"Posicor","CACNA1H","ANXIETY DISORDER"
"PF-03475952","CACNA2D2","ANXIETY DISORDER"
"CHEMBL3232692","CACNA2D2","ANXIETY DISORDER"
"Bivatuzumab","CACNA2D2","ANXIETY DISORDER"
"BIWA-1-DM1","CACNA2D2","ANXIETY DISORDER"
"BIVATUZUMAB MERTANSINE","CACNA2D2","ANXIETY DISORDER"
"Hyaluronic acid","CACNA2D2","ANXIETY DISORDER"
"AXALID","CACNA2D2","ANXIETY DISORDER"
"Rewisca","CACNA2D2","ANXIETY DISORDER"
"GKE-841","CACNA2D3","ANXIETY DISORDER"
"AWD21-360","CACNA2D3","ANXIETY DISORDER"
"Ezogabine","CACNA2D3","ANXIETY DISORDER"
"Retigabine","CACNA2D3","ANXIETY DISORDER"
"WAY-143841","CACNA2D3","ANXIETY DISORDER"
"D-23129","CACNA2D3","ANXIETY DISORDER"
"Trobalt","CACNA2D3","ANXIETY DISORDER"
"GW582892X","CACNA2D3","ANXIETY DISORDER"
"Potiga","CACNA2D3","ANXIETY DISORDER"
"Mibampator","CACNG4","ANXIETY DISORDER"
"LY-451395","CACNG4","ANXIETY DISORDER"
"Perampanel","CACNG4","ANXIETY DISORDER"
"Trokendi XR","CACNG4","ANXIETY DISORDER"
"Zonampanel","CACNG4","ANXIETY DISORDER"
"ORG-26576","CACNG4","ANXIETY DISORDER"
"BGG492","CACNG4","ANXIETY DISORDER"
"TOPAMAX SPRINKLE","CACNG4","ANXIETY DISORDER"
"FYCOMPA","CACNG4","ANXIETY DISORDER"
"SCH-900460","CACNG4","ANXIETY DISORDER"
"E2007","CACNG4","ANXIETY DISORDER"
"ORG-24448","CACNG4","ANXIETY DISORDER"
"Topamax","CACNG4","ANXIETY DISORDER"
"Selurampanel","CACNG4","ANXIETY DISORDER"
"ER-155055-90","CACNG4","ANXIETY DISORDER"
"YM872","CACNG4","ANXIETY DISORDER"
"CX-691","CACNG4","ANXIETY DISORDER"
"LY-293558","CACNG4","ANXIETY DISORDER"
"ONO-4819","CAST","ALZHEIMER'S DISEASE"
"Rivenprost","CAST","ALZHEIMER'S DISEASE"
"CHEMBL1836","CAST","ALZHEIMER'S DISEASE"
"Cytotec","CAST","ALZHEIMER'S DISEASE"
"Mysodelle","CAST","ALZHEIMER'S DISEASE"
"Topogyne","CAST","ALZHEIMER'S DISEASE"
"CHEMBL3710","CAST","ALZHEIMER'S DISEASE"
"YTTRIUM Y 90 TACATUZUMAB TETRAXETAN","CAST","ALZHEIMER'S DISEASE"
"YTTRIUM (90Y) TACATUZUMAB TETRAXETAN","CAST","ALZHEIMER'S DISEASE"
"Afp-Cide","CAST","ALZHEIMER'S DISEASE"
"HAFP-31","CAST","ALZHEIMER'S DISEASE"
"CHEMBL3712864","CAST","ALZHEIMER'S DISEASE"
"Castor oil","CAST","ALZHEIMER'S DISEASE"
"Dinoprostone","CAST","ALZHEIMER'S DISEASE"
"Grapiprant","CAST","ALZHEIMER'S DISEASE"
"Limaprost","CAST","ALZHEIMER'S DISEASE"
"Bimatoprost","CAST","ALZHEIMER'S DISEASE"
"Gemeprost","CAST","ALZHEIMER'S DISEASE"
"Prostin E2","CAST","ALZHEIMER'S DISEASE"
"CERVIDIL","CAST","ALZHEIMER'S DISEASE"
"DINOPROSTONE BETA-CYCLODEXTRIN CLATHRATE","CAST","ALZHEIMER'S DISEASE"
"Propess","CAST","ALZHEIMER'S DISEASE"
"U-12062","CAST","ALZHEIMER'S DISEASE"
"PREPIDIL","CAST","ALZHEIMER'S DISEASE"
"U-12,062","CAST","ALZHEIMER'S DISEASE"
"SGI-1776","CDC25A","ALZHEIMER'S DISEASE"
"CHEMBL3559682","CDC25A","ALZHEIMER'S DISEASE"
"(2S)-1,3-benzothiazol-2-yl{2-[(2-pyridin-3-ylethyl)amino]pyrimidin-4-yl}ethanenitrile","CDC25A","ALZHEIMER'S DISEASE"
"(3e)-3-[(4-Hydroxyphenyl)Imino]-1h-Indol-2(3h)-One","CDC25A","ALZHEIMER'S DISEASE"
"(4R)-7,8-dichloro-1',9-dimethyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","CDC25A","ALZHEIMER'S DISEASE"
"(4R)-7-chloro-9-methyl-1-oxo-1,2,4,9-tetrahydrospiro[beta-carboline-3,4'-piperidine]-4-carbonitrile","CDC25A","ALZHEIMER'S DISEASE"
"2,3-diphenyl-1H-indole-7-carboxylic acid","CDC25A","ALZHEIMER'S DISEASE"
"3,4-Dihydroxy-1-Methylquinolin-2(1h)-One","CDC25A","ALZHEIMER'S DISEASE"
"4-(4-hydroxy-3-methylphenyl)-6-phenylpyrimidin-2(5H)-one","CDC25A","ALZHEIMER'S DISEASE"
"4-[3-(4-chlorophenyl)-2,1-benzisoxazol-5-yl]pyrimidin-2-amine","CDC25A","ALZHEIMER'S DISEASE"
"5,7-DIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-CHROMEN-4-ONE","CDC25A","ALZHEIMER'S DISEASE"
"6-(5-BROMO-2-HYDROXYPHENYL)-2-OXO-4-PHENYL-1,2-DIHYDROPYRIDINE-3-CARBONITRILE","CDC25A","ALZHEIMER'S DISEASE"
"Adenosine phosphate","CDC25A","ALZHEIMER'S DISEASE"
"Imidazole","CDC25A","ALZHEIMER'S DISEASE"
"IMIDAZOPYRIDAZIN 1","CDC25A","ALZHEIMER'S DISEASE"
"LY-294002","CDC25A","ALZHEIMER'S DISEASE"
"N-cyclohexyl-3-[3-(trifluoromethyl)phenyl][1,2,4]triazolo[4,3-b]pyridazin-6-amine","CDC25A","ALZHEIMER'S DISEASE"
"N-phenyl-1H-pyrrolo[2,3-b]pyridin-3-amine","CDC25A","ALZHEIMER'S DISEASE"
"S,S-(2-Hydroxyethyl)Thiocysteine","CDC25A","ALZHEIMER'S DISEASE"
"TOZASERTIB","CDC25B","ALZHEIMER'S DISEASE"
"Alisertib","CDC25B","ALZHEIMER'S DISEASE"
"MLN-8237","CDC25B","ALZHEIMER'S DISEASE"
"MLN-8054","CDC25B","ALZHEIMER'S DISEASE"
"AMG-900","CDC25B","ALZHEIMER'S DISEASE"
"CHEMBL3055","CDK20","ANXIETY DISORDER"
"ALVOCIDIB","CDK20","ANXIETY DISORDER"
"HMR 1275","CDK20","ANXIETY DISORDER"
"Phosphonothreonine","CDK20","ANXIETY DISORDER"
"TLK199","CDK5","ALZHEIMER'S DISEASE"
"TELINTRA","CDK5","ALZHEIMER'S DISEASE"
"Ezatiostat HCl","CDK5","ALZHEIMER'S DISEASE"
"TER199","CDK5","ALZHEIMER'S DISEASE"
"EZATIOSTAT HYDROCHLORIDE","CDK5","ALZHEIMER'S DISEASE"
"CHEMBL3902","CDK5","ALZHEIMER'S DISEASE"
"WYE-103760","CDK5","ALZHEIMER'S DISEASE"
"PF-5212377","CDK5","ALZHEIMER'S DISEASE"
"SAM-760","CDK5","ALZHEIMER'S DISEASE"
"CHEMBL3371","CDK5","ALZHEIMER'S DISEASE"
"LU AE58054","CDK5","ALZHEIMER'S DISEASE"
"WAY-262531","CDK5","ALZHEIMER'S DISEASE"
"Cerlapirdine","CDK5","ALZHEIMER'S DISEASE"
"SAM-531","CDK5","ALZHEIMER'S DISEASE"
"PF-05212365","CDK5","ALZHEIMER'S DISEASE"
"Intepirdine","CDK5","ALZHEIMER'S DISEASE"
"RVT-101","CDK5","ALZHEIMER'S DISEASE"
"SB-742457","CDK5","ALZHEIMER'S DISEASE"
"GSK742457","CDK5","ALZHEIMER'S DISEASE"
"CHEMBL4223","CDK5","ALZHEIMER'S DISEASE"
"CHEMBL2014","CDK5","ALZHEIMER'S DISEASE"
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene","CDK5","ALZHEIMER'S DISEASE"
"2-(N-Morpholino)-Ethanesulfonic Acid","CDK5","ALZHEIMER'S DISEASE"
"alpha-Tocopherol succinate","CDK5","ALZHEIMER'S DISEASE"
"Busulfan","CDK5","ALZHEIMER'S DISEASE"
"Canfosfamide","CDK5","ALZHEIMER'S DISEASE"
"Carbocisteine","CDK5","ALZHEIMER'S DISEASE"
"Carboplatin","CDK5","ALZHEIMER'S DISEASE"
"Chlorambucil","CDK5","ALZHEIMER'S DISEASE"
"Cibacron Blue","CDK5","ALZHEIMER'S DISEASE"
"Cisplatin","CDK5","ALZHEIMER'S DISEASE"
"Clozapine","CDK5","ALZHEIMER'S DISEASE"
"Curcumin","CDK5","ALZHEIMER'S DISEASE"
"Curcumin sulfate","CDK5","ALZHEIMER'S DISEASE"
"D-alpha-Tocopherol acetate","CDK5","ALZHEIMER'S DISEASE"
"Dinitrochlorobenzene","CDK5","ALZHEIMER'S DISEASE"
"Ezatiostat","CDK5","ALZHEIMER'S DISEASE"
"Glutathione","CDK5","ALZHEIMER'S DISEASE"
"Glutathione Sulfonic Acid","CDK5","ALZHEIMER'S DISEASE"
"Glycerin","CDK5","ALZHEIMER'S DISEASE"
"Hypericin","CDK5","ALZHEIMER'S DISEASE"
"Oxaliplatin","CDK5","ALZHEIMER'S DISEASE"
"S-(4-BROMOBENZYL)CYSTEINE","CDK5","ALZHEIMER'S DISEASE"
"S-(P-Nitrobenzyl)Glutathione","CDK5","ALZHEIMER'S DISEASE"
"S-Hexylglutathione","CDK5","ALZHEIMER'S DISEASE"
"S-Hydroxycysteine","CDK5","ALZHEIMER'S DISEASE"
"S-NONYL-CYSTEINE","CDK5","ALZHEIMER'S DISEASE"
"Sulfamethoxazole","CDK5","ALZHEIMER'S DISEASE"
"Amoxapine","CDK5","ALZHEIMER'S DISEASE"
"Aripiprazole","CDK5","ALZHEIMER'S DISEASE"
"Aripiprazole lauroxil","CDK5","ALZHEIMER'S DISEASE"
"Asenapine","CDK5","ALZHEIMER'S DISEASE"
"Dihydroergocornine","CDK5","ALZHEIMER'S DISEASE"
"Dihydroergocristine","CDK5","ALZHEIMER'S DISEASE"
"Dimethyltryptamine","CDK5","ALZHEIMER'S DISEASE"
"Ergoloid mesylate","CDK5","ALZHEIMER'S DISEASE"
"Iloperidone","CDK5","ALZHEIMER'S DISEASE"
"Lysergic acid diethylamide","CDK5","ALZHEIMER'S DISEASE"
"PRX-07034","CDK5","ALZHEIMER'S DISEASE"
"Quetiapine","CDK5","ALZHEIMER'S DISEASE"
"Sertindole","CDK5","ALZHEIMER'S DISEASE"
"Setiptiline","CDK5","ALZHEIMER'S DISEASE"
"SGS518","CDK5","ALZHEIMER'S DISEASE"
"SUVN-502","CDK5","ALZHEIMER'S DISEASE"
"Tiapride","CDK5","ALZHEIMER'S DISEASE"
"Ziprasidone","CDK5","ALZHEIMER'S DISEASE"
"Buprenorphine","CDK5","ALZHEIMER'S DISEASE"
"Solian 100","CDK5","ALZHEIMER'S DISEASE"
"Solian 400","CDK5","ALZHEIMER'S DISEASE"
"Amisulpride","CDK5","ALZHEIMER'S DISEASE"
"Zimeldine","CDK5","ALZHEIMER'S DISEASE"
"Zimelidine","CDK5","ALZHEIMER'S DISEASE"
"Dexfenfluramine","CDK5","ALZHEIMER'S DISEASE"
"Solian 200","CDK5","ALZHEIMER'S DISEASE"
"SOLIAN 50","CDK5","ALZHEIMER'S DISEASE"
"Solian","CDK5","ALZHEIMER'S DISEASE"
"Zelmid","CDK5","ALZHEIMER'S DISEASE"
"Normud","CDK5","ALZHEIMER'S DISEASE"
"SOFINICLINE","CHRNA2","ALZHEIMER'S DISEASE"
"NiQuitin Mint","CHRNA2","ALZHEIMER'S DISEASE"
"Nicotinell TTS 30","CHRNA2","ALZHEIMER'S DISEASE"
"NICOTINELL TTS 20","CHRNA2","ALZHEIMER'S DISEASE"
"NIQUITIN STRIPS MINT","CHRNA2","ALZHEIMER'S DISEASE"
"NICOTINELL TTS 10","CHRNA2","ALZHEIMER'S DISEASE"
"Stoppers","CHRNA2","ALZHEIMER'S DISEASE"
"NICOTINELL SUPPORT","CHRNA2","ALZHEIMER'S DISEASE"
"Dexmecamylamine","CHRNA2","ALZHEIMER'S DISEASE"
"ABT-894","CHRNA2","ALZHEIMER'S DISEASE"
"TC-5214","CHRNA2","ALZHEIMER'S DISEASE"
"NICOPATCH","CHRNA2","ALZHEIMER'S DISEASE"
"TC-1734","CHRNA2","ALZHEIMER'S DISEASE"
